,DATE_year,DATE_month,DATE_week,DATE_day,Hour,Minute,Temp(K),Humidity%,Pressure(atm),wind,Street (Coded),disposition
0,0.0,0.8181818181818182,0.75,0.1,0.8695652173913043,0.0,0.7043662242738993,0.45000000000000007,0.28947368421052566,0.5384615384615385,0.0,0
1,0.0,0.8181818181818182,0.75,0.1,1.0,0.0,0.6757068667051351,0.6000000000000001,0.28947368421052566,0.23076923076923078,0.6842105263157894,2
2,0.0,0.8181818181818182,0.75,0.13333333333333333,0.0,0.01694915254237288,0.6356991729178691,0.5375000000000001,0.2982456140350873,0.23076923076923078,0.6842105263157894,0
3,0.0,0.8181818181818182,0.7692307692307693,0.3,0.6086956521739131,0.0,0.4843239084439315,0.5750000000000001,0.3157894736842106,0.15384615384615385,0.10526315789473684,2
4,0.0,0.8181818181818182,0.7884615384615384,0.4666666666666667,0.5217391304347826,0.5084745762711864,0.6820542412002304,0.7750000000000001,0.21929824561403422,0.6153846153846154,0.3684210526315789,0
5,0.0,0.8181818181818182,0.7884615384615384,0.5333333333333333,0.9130434782608695,0.5084745762711864,0.6724370071167529,0.3125,0.2017543859649109,0.3076923076923077,0.7368421052631579,3
6,0.0,0.8181818181818182,0.7884615384615384,0.6,0.8260869565217391,0.423728813559322,0.6164647047509142,0.30000000000000004,0.14912280701754277,0.46153846153846156,0.0,3
7,0.0,0.8181818181818182,0.7884615384615384,0.6333333333333333,0.9565217391304348,0.3389830508474576,0.48297749567224457,0.9125000000000001,0.16666666666666607,0.46153846153846156,0.5789473684210527,0
8,0.0,0.8181818181818182,0.7884615384615384,0.6666666666666666,0.5652173913043478,0.0847457627118644,0.4591267551452205,0.9125000000000001,0.21052631578947256,0.23076923076923078,0.5789473684210527,1
9,0.0,0.8181818181818182,0.7884615384615384,0.6666666666666666,0.9565217391304348,0.0,0.5589536449317176,0.5750000000000001,0.24561403508771917,0.3076923076923077,0.5789473684210527,5
10,0.0,0.8181818181818182,0.8076923076923077,0.7,0.2608695652173913,0.7627118644067796,0.4070013464127724,0.9125000000000001,0.280701754385964,0.0,0.47368421052631576,0
11,0.0,0.8181818181818182,0.8076923076923077,0.7666666666666667,0.7826086956521738,0.0,0.6507020580880933,0.7125,0.28947368421052566,0.0,0.0,1
12,0.0,0.8181818181818182,0.8076923076923077,0.8,0.3913043478260869,0.0,0.6066551259857667,0.65,0.28947368421052566,0.15384615384615385,0.10526315789473684,1
13,0.0,0.8181818181818182,0.8076923076923077,0.8,0.7391304347826086,0.0,0.7591844585497212,0.5,0.28947368421052566,0.3076923076923077,0.6842105263157894,0
14,0.0,0.9090909090909091,0.826923076923077,0.0,0.0,0.01694915254237288,0.4004616272360071,0.825,0.2017543859649109,0.6153846153846154,0.05263157894736842,1
15,0.0,0.9090909090909091,0.8461538461538461,0.16666666666666669,0.7826086956521738,0.9322033898305084,0.4395075976149263,0.5,0.3245614035087705,0.23076923076923078,0.6842105263157894,1
16,0.0,0.9090909090909091,0.8653846153846154,0.4,0.0,0.01694915254237288,0.6447393729563373,0.38750000000000007,0.27192982456140236,0.6153846153846154,0.5789473684210527,3
17,0.0,0.9090909090909091,0.8653846153846154,0.43333333333333335,0.7391304347826086,0.0,0.36141565685708876,0.3375,0.42982456140350855,0.23076923076923078,0.7368421052631579,0
18,0.0,0.9090909090909091,0.8653846153846154,0.43333333333333335,0.9130434782608695,0.847457627118644,0.39469128678592025,0.30000000000000004,0.41228070175438525,0.15384615384615385,0.7368421052631579,5
19,0.0,0.9090909090909091,0.8846153846153846,0.8,0.5652173913043478,0.0,0.25889594152721607,0.6000000000000001,0.35087719298245545,0.3076923076923077,0.5789473684210527,0
20,0.0,0.9090909090909091,0.9038461538461539,0.8666666666666667,0.0,0.01694915254237288,0.4056549336410846,0.5,0.2631578947368407,0.15384615384615385,0.5789473684210527,0
21,0.0,0.9090909090909091,0.9038461538461539,0.9,0.5217391304347826,0.0,0.26024235429890386,0.9000000000000001,0.36842105263157876,0.15384615384615385,0.47368421052631576,2
22,0.0,0.9090909090909091,0.9038461538461539,0.9333333333333333,0.5217391304347826,0.5084745762711864,0.24677822658203485,0.7375,0.3771929824561404,0.23076923076923078,0.7368421052631579,1
23,0.0,0.9090909090909091,0.9038461538461539,0.9333333333333333,0.5652173913043478,0.6779661016949152,0.2681284862473552,0.7375,0.3859649122807003,0.23076923076923078,0.21052631578947367,2
24,0.0,0.9999999999999999,0.9038461538461539,0.0,0.5652173913043478,0.0,0.4056549336410846,0.55,0.3245614035087705,0.23076923076923078,0.6842105263157894,2
25,0.0,0.9999999999999999,0.9230769230769231,0.1,0.34782608695652173,0.0,0.6103096749374881,1.0,0.30701754385964897,0.15384615384615385,0.3684210526315789,0
26,0.0,0.9999999999999999,0.9230769230769231,0.16666666666666669,0.7391304347826086,0.1016949152542373,0.4112329294095014,0.6125,0.39473684210526194,0.15384615384615385,0.6842105263157894,2
27,0.0,0.9999999999999999,0.9230769230769231,0.2,1.0,0.0,0.4741296403154447,0.625,0.280701754385964,0.15384615384615385,0.5789473684210527,2
28,0.0,0.9999999999999999,0.9423076923076923,0.3,0.6956521739130435,0.0,0.45335641469513366,1.0,0.24561403508771917,0.38461538461538464,0.3684210526315789,0
29,0.0,0.9999999999999999,0.9423076923076923,0.43333333333333335,0.7826086956521738,0.0,0.4545104827851505,0.3125,0.3771929824561404,0.23076923076923078,0.6842105263157894,1
30,0.0,0.8181818181818182,0.75,0.0,0.5652173913043478,0.0,0.522408155414503,0.7000000000000001,0.23684210526315752,0.3076923076923077,0.5789473684210527,1
