,CRIME,DATE_year,DATE_month,DATE_week,DATE_day,Hour,Minute,Temp(K),Pressure(atm),wind,Humidity%,Description,disposition,Bike Value
137,Over 200$,2013,6,23,6,8,00,288.78,1018.0,2.0,67.0,0,0,1
138,Over 200$,2013,6,23,6,20,00,299.39,1011.0,1.0,54.0,13,5,1
139,Over 200$,2013,6,23,6,22,00,299.67,1012.0,1.0,57.0,13,5,1
140,Over 200$,2013,6,23,8,10,42,290.2,1011.0,2.0,77.0,13,1,1
141,Over 200$,2013,6,24,13,15,35,299.98,1013.0,2.0,74.0,13,5,1
142,Over 200$,2013,6,24,14,18,00,297.37,1012.0,7.0,56.0,14,0,1
143,Over 200$,2013,6,24,14,21,10,300.54,1014.0,9.0,44.0,14,2,1
144,Over 200$,2013,6,24,15,8,00,288.71,1015.0,3.0,77.0,14,1,1
145,Over 200$,2013,6,24,15,16,00,295.62,1019.0,2.0,64.0,14,4,1
146,Over 200$,2013,6,24,16,4,18,293.02,1018.0,2.0,77.0,14,1,1
147,Over 200$,2013,6,25,19,5,50,295.66,1014.0,5.0,73.0,14,0,1
148,Over 200$,2013,6,25,19,11,06,293.5425,1013.0,2.0,78.0,14,2,1
149,Over 200$,2013,6,25,20,1,30,296.37,1015.0,3.0,56.0,14,4,1
150,Over 200$,2013,6,25,20,12,00,292.09,1019.0,2.0,68.0,14,0,1
151,Over 200$,2013,6,25,21,12,48,295.0775,1035.0,1.0,71.0,14,2,1
152,Over 200$,2013,6,25,23,12,00,297.24,1020.0,3.0,69.0,2,1,1
153,Over 200$,2013,6,26,24,17,30,303.91,1020.0,6.0,45.0,14,3,1
154,Over 200$,2013,6,26,24,23,00,296.24,1018.0,2.0,83.0,0,5,1
155,Over 200$,2013,6,26,25,22,14,304.96,1017.0,4.0,54.0,14,2,1
156,Over 200$,2013,6,26,26,7,00,295.32,1017.0,3.0,83.0,14,4,1
157,Over 200$,2013,6,26,26,13,30,298.15,1017.0,4.0,73.0,14,1,1
158,Over 200$,2013,6,26,26,18,30,306.77,1016.0,4.0,55.0,13,0,1
159,Over 200$,2013,6,26,28,13,00,297.44,1009.0,6.0,83.0,0,0,1
160,Over 200$,2013,6,26,28,16,20,300.15,1010.0,4.0,61.0,14,2,1
161,Over 200$,2013,6,26,29,3,00,298.79,1006.0,3.0,73.0,14,0,1
162,Over 200$,2013,7,27,2,8,46,292.15,1013.0,2.0,77.0,0,1,1
163,Over 200$,2013,7,27,4,2,00,291.15,1017.0,1.0,88.0,14,2,1
164,Over 200$,2013,7,27,4,13,00,292.82,1019.0,3.0,100.0,9,3,1
165,Over 200$,2013,7,27,4,16,00,295.47,1019.0,5.0,68.0,11,0,1
166,Over 200$,2013,7,27,5,21,00,297.595,1020.0,2.0,65.0,13,0,1
167,Over 200$,2013,7,27,5,22,00,297.43,1020.0,2.0,69.0,0,0,1
168,Over 200$,2013,7,28,8,12,00,293.15,1020.0,2.0,88.0,9,2,1
169,Over 200$,2013,7,28,8,21,00,305.39,1018.0,3.0,54.0,14,3,1
170,Over 200$,2013,7,28,10,12,00,298.52,1018.0,4.0,69.0,14,3,1
171,Over 200$,2013,7,28,10,13,00,300.3,1019.0,4.0,74.0,13,0,1
172,Over 200$,2013,7,28,10,19,15,304.9,1017.0,4.0,58.0,14,0,1
173,Over 200$,2013,7,28,10,22,00,301.171,1020.0,3.0,80.0,10,0,1
174,Over 200$,2013,7,28,11,0,01,301.75,1015.0,3.0,66.0,7,3,1
175,Over 200$,2013,7,28,11,13,00,301.01,1014.0,4.0,74.0,14,0,1
176,Over 200$,2013,7,28,12,15,00,295.28,1018.0,3.0,60.0,14,4,1
177,Over 200$,2013,7,28,13,15,00,296.33,1021.0,3.0,50.0,14,0,1
178,Over 200$,2013,7,28,13,21,20,303.915,1020.0,2.0,44.0,0,0,1
179,Over 200$,2013,7,28,14,17,00,300.75,1021.0,3.0,51.0,13,1,1
180,Over 200$,2013,7,29,15,0,01,300.66,1020.0,3.0,45.0,13,0,1
181,Over 200$,2013,7,29,15,21,00,306.31,1022.0,2.0,48.0,13,3,1
182,Over 200$,2013,7,29,16,0,01,303.52,1022.0,1.0,53.0,13,2,1
183,Over 200$,2013,7,29,17,18,00,308.31,1027.0,2.0,55.0,0,2,1
184,Over 200$,2013,7,29,17,18,00,308.31,1027.0,2.0,55.0,0,2,1
185,Over 200$,2013,7,29,18,15,31,302.75,1028.0,2.0,55.0,14,4,1
186,Over 200$,2013,7,29,19,13,30,302.15,1023.0,1.0,66.0,14,5,1
187,Over 200$,2013,7,29,20,9,25,297.43,1017.0,2.0,88.0,14,2,1
188,Over 200$,2013,7,29,20,12,20,299.15,1017.0,3.0,78.0,14,0,1
189,Over 200$,2013,7,30,22,17,00,300.935,1016.0,1.0,69.0,14,0,1
190,Over 200$,2013,7,30,22,17,39,300.935,1016.0,1.0,69.0,14,2,1
191,Over 200$,2013,7,30,23,21,00,303.335,1010.0,2.0,63.0,13,5,1
192,Over 200$,2013,7,30,24,22,00,303.73,1009.0,5.0,54.0,13,2,1
193,Over 200$,2013,7,30,25,12,30,287.88,1016.0,3.0,77.0,14,0,1
194,Over 200$,2013,7,30,26,8,30,286.17,1018.0,1.0,93.0,14,0,1
195,Over 200$,2013,7,30,26,22,00,301.93,1019.0,2.0,44.0,2,2,1
196,Over 200$,2013,7,30,28,12,45,292.8,1013.0,2.0,82.0,11,0,1
197,Over 200$,2013,7,31,29,18,00,296.375,1016.0,6.0,40.0,0,3,1
198,Over 200$,2013,7,31,30,0,01,294.56,1017.0,2.0,46.0,11,3,1
199,Over 200$,2013,7,31,31,9,00,286.74,1023.0,1.0,81.0,14,4,1
200,Over 200$,2013,7,31,31,10,50,287.36,1023.0,1.0,87.0,14,3,1
201,Over 200$,2013,7,31,31,16,30,297.06,1023.0,1.0,53.0,11,0,1
202,Over 200$,2013,8,31,1,0,30,293.95,1020.0,3.0,82.0,14,2,1
203,Over 200$,2013,8,31,1,10,30,292.07,1018.0,3.0,93.0,10,1,1
204,Over 200$,2013,8,31,1,12,00,291.98,1019.0,2.0,88.0,9,0,1
205,Over 200$,2013,8,31,1,21,00,297.31,1015.0,2.0,75.0,11,4,1
206,Over 200$,2013,8,31,2,22,58,301.4405,1022.0,4.0,46.0,0,2,1
207,Over 200$,2013,8,31,3,13,09,292.945,1016.0,3.0,65.0,14,0,1
208,Over 200$,2013,8,31,4,1,50,297.09,1015.0,3.0,69.0,11,3,1
209,Over 200$,2013,8,31,4,2,00,295.0925,1023.0,3.0,66.0,13,4,1
210,Over 200$,2013,8,32,6,18,00,299.63,1018.0,2.0,43.0,14,2,1
211,Over 200$,2013,8,32,6,22,00,298.81,1016.0,3.0,40.0,10,1,1
212,Over 200$,2013,8,32,10,8,00,295.05,1015.0,2.0,88.0,9,1,1
213,Over 200$,2013,8,33,14,18,30,295.6555,1008.0,3.0,72.0,14,1,1
214,Over 200$,2013,8,33,15,0,01,293.81,1017.0,1.0,54.0,2,3,1
215,Over 200$,2013,8,33,15,10,00,285.45,1022.0,3.0,67.0,14,1,1
216,Over 200$,2013,8,33,15,12,00,287.0066667,1022.0,3.0,64.0,14,1,1
217,Over 200$,2013,8,33,17,11,00,287.54,1022.0,2.0,65.0,13,3,1
218,Over 200$,2013,8,33,17,15,00,293.24,1023.0,3.0,57.0,13,4,1
219,Over 200$,2013,8,33,17,19,00,296.76,1022.0,3.0,41.0,0,3,1
220,Over 200$,2013,8,33,17,20,00,297.53,1022.0,3.0,38.0,13,1,1
221,Over 200$,2013,8,33,18,1,17,292.98,1022.0,2.0,45.0,13,5,1
222,Over 200$,2013,8,33,18,2,00,292.07,1022.0,3.0,47.0,13,4,1
223,Over 200$,2013,8,33,18,21,00,301.4,1017.0,0.0,43.0,0,4,1
224,Over 200$,2013,8,34,19,11,54,288.9,1020.0,1.0,89.0,9,2,1
225,Over 200$,2013,8,34,20,9,03,289.81,1019.0,1.0,92.0,9,0,1
226,Over 200$,2013,8,34,21,0,01,300.96,1017.0,1.0,54.0,14,1,1
227,Over 200$,2013,8,34,21,0,01,300.96,1017.0,1.0,54.0,14,0,1
228,Over 200$,2013,8,34,21,7,00,291.78,1018.0,1.0,90.0,9,3,1
229,Over 200$,2013,8,34,22,7,20,293.65,1018.0,1.0,88.0,14,3,1
230,Over 200$,2013,8,34,23,17,15,302.98,1018.0,4.0,55.0,13,0,1
231,Over 200$,2013,8,34,24,17,00,299.31,1019.0,1.0,55.0,2,4,1
232,Over 200$,2013,8,34,25,10,30,289.14,1022.0,3.0,78.0,14,5,1
233,Over 200$,2013,8,34,25,12,00,288.51,1023.0,1.0,84.0,14,1,1
234,Over 200$,2013,8,35,26,14,00,296.05,1026.0,2.0,60.0,14,1,1
235,Over 200$,2013,8,35,28,21,00,306.9,1017.0,4.0,44.0,0,3,1
236,Over 200$,2013,8,35,28,22,00,305.993,1019.0,4.0,48.0,0,3,1
237,Over 200$,2013,8,35,29,14,00,300.54,1016.0,6.0,65.0,14,2,1
238,Over 200$,2013,8,35,29,15,00,302.6,1013.0,4.0,53.0,14,1,1
239,Over 200$,2013,8,35,30,17,00,303.28,1019.0,2.0,56.0,14,0,1
240,Over 200$,2013,9,36,3,0,01,296.91,1030.0,3.0,43.0,14,3,1
241,Over 200$,2013,9,36,4,22,00,304.6,1018.0,2.0,37.0,14,4,1
242,Over 200$,2013,9,36,5,14,30,295.3255,1028.0,1.0,71.0,0,2,1
243,Over 200$,2013,9,36,5,17,00,300.99,1022.0,3.0,52.0,14,2,1
244,Over 200$,2013,9,36,5,19,00,302.11,1021.0,1.0,57.0,14,1,1
245,Over 200$,2013,9,36,6,8,00,288.0365,1029.0,2.0,62.0,14,4,1
246,Over 200$,2013,9,36,7,0,50,293.15,1020.0,1.0,82.0,14,3,1
247,Over 200$,2013,9,36,7,12,00,292.0768,1023.0,2.0,75.0,14,1,1
248,Over 200$,2013,9,36,8,15,00,297.6055,1028.0,1.0,77.0,0,0,1
249,Over 200$,2013,9,37,9,6,45,294.78,1015.0,0.0,70.0,2,0,1
250,Over 200$,2013,9,37,9,11,00,292.73,1015.0,2.0,93.0,9,1,1
251,Over 200$,2013,9,37,11,8,30,296.54,1019.0,1.0,90.0,14,1,1
252,Over 200$,2013,9,37,14,3,30,283.15,1020.0,2.0,76.0,14,1,1
253,Over 200$,2013,9,37,15,12,00,280.15,1020.0,1.0,87.0,14,0,1
254,Over 200$,2013,9,38,16,18,00,291.15,1026.0,3.0,59.0,11,2,1
255,Over 200$,2013,9,38,17,9,51,283.15,1027.0,1.0,87.0,14,3,1
256,Over 200$,2013,9,38,18,12,45,289.15,1021.0,2.0,77.0,11,0,1
257,Over 200$,2013,9,38,20,12,00,295.8166667,1013.0,3.0,79.0,0,5,1
258,Over 200$,2013,9,39,24,0,30,291.2666667,1016.0,1.0,63.0,14,1,1
259,Over 200$,2013,9,39,24,11,00,281.29,1017.0,1.0,89.0,14,1,1
260,Over 200$,2013,9,39,26,14,00,288.725,1016.0,2.0,81.0,14,2,1
261,Over 200$,2013,9,39,27,12,00,283.03,1021.0,1.0,84.0,14,1,1
262,Over 200$,2013,9,39,27,15,00,294.23,1021.0,1.0,56.0,14,3,1
263,Over 200$,2013,9,39,29,4,50,292.15,1018.0,2.0,63.0,14,5,1
264,Over 200$,2013,10,40,1,0,01,292.95,1014.0,2.0,84.0,13,1,1
265,Over 200$,2013,10,40,1,22,45,297.3403333,1028.0,2.0,64.0,14,1,1
266,Over 200$,2013,10,40,2,0,00,295.1232,1020.0,3.0,77.0,14,1,1
267,Over 200$,2013,10,40,2,20,00,297.651,1029.0,2.0,78.0,0,3,1
268,Over 200$,2013,10,40,4,1,00,296.0,1014.0,4.0,81.0,14,1,1
269,Over 200$,2013,10,40,6,23,00,289.15,1009.0,6.0,55.0,11,1,1
270,Over 200$,2013,10,41,9,4,41,280.15,1023.0,1.0,87.0,14,0,1
271,Over 200$,2013,10,41,10,0,01,284.15,1022.0,3.0,87.0,14,1,1
272,Over 200$,2013,10,41,11,16,17,292.66,1019.0,1.0,53.0,14,0,1
273,Over 200$,2013,10,41,13,12,40,288.2308,1029.0,3.0,67.0,14,1,1
274,Over 200$,2013,10,42,16,0,01,291.1366667,1011.0,1.0,80.0,7,3,1
275,Over 200$,2013,10,42,18,13,00,279.95,1014.0,2.0,96.0,7,2,1
276,Over 200$,2013,10,43,23,0,01,280.5815,1024.0,2.0,73.0,7,3,1
277,Over 200$,2013,10,43,23,7,08,276.558,1023.0,4.0,96.0,7,2,1
278,Over 200$,2013,10,43,23,16,57,278.5626667,1029.0,4.0,73.0,7,3,1
279,Over 200$,2013,10,43,25,15,37,279.15,1031.0,3.0,52.0,14,0,1
280,Over 200$,2013,10,43,25,16,30,279.50233330000003,1035.0,3.0,58.0,8,0,1
281,Over 200$,2013,10,44,29,13,30,276.578,1041.0,1.0,68.0,14,0,1
282,Over 200$,2013,10,44,30,22,00,290.9873333,1029.0,3.0,95.0,7,0,1
283,Over 200$,2013,10,44,31,9,30,289.342,1024.0,5.0,92.0,7,3,1
284,Over 200$,2013,10,44,31,14,00,289.2983333,1021.0,5.0,96.0,10,5,1
285,Over 200$,2013,11,44,1,18,00,284.677,1018.0,5.0,88.0,10,2,1
286,Over 200$,2013,11,46,11,3,35,273.04,1026.0,4.0,88.0,2,5,1
287,Over 200$,2013,11,46,14,16,00,279.57,1023.0,4.0,36.0,2,0,1
288,Over 200$,2013,11,46,14,20,00,284.98,1019.0,4.0,20.0,2,0,1
289,Over 200$,2013,11,47,18,18,00,285.19,1017.0,8.0,59.0,0,0,1
290,Over 200$,2013,11,48,28,0,01,268.18,1024.0,3.0,62.0,14,1,1
291,Over 200$,2013,11,48,30,17,00,279.34,1026.0,2.0,47.0,2,0,1
292,Over 200$,2013,12,48,1,16,00,280.43,1018.0,0.0,57.0,2,0,1
293,Over 200$,2013,12,49,2,4,00,275.91,1014.0,4.0,88.0,4,1,1
294,Over 200$,2013,12,50,11,17,30,270.22,1025.0,2.0,85.0,2,0,1
295,Over 200$,2013,12,52,28,12,00,275.16,1024.0,4.0,84.0,2,0,1
296,50$ to 200$,2012,11,46,15,15,00,275.57,1033.0,3.0,64.0,11,2,0
297,50$ to 200$,2013,1,1,2,19,00,270.31,1020.0,3.0,79.0,0,2,0
298,50$ to 200$,2013,1,1,5,22,00,271.51,1026.0,6.0,68.0,14,2,0
299,50$ to 200$,2013,1,2,7,18,00,271.84,1019.0,8.0,79.0,11,5,0
300,50$ to 200$,2013,1,2,8,0,01,270.47,1026.0,6.0,79.0,11,1,0
301,50$ to 200$,2013,1,2,12,1,00,277.56,1020.0,6.0,93.0,9,1,0
302,50$ to 200$,2013,1,3,19,13,05,266.89,1031.0,0.0,79.0,2,2,0
303,50$ to 200$,2013,1,3,19,16,00,272.54,1033.0,5.0,58.0,2,4,0
304,50$ to 200$,2013,1,4,23,9,30,256.97,1007.0,3.0,86.0,14,5,0
305,50$ to 200$,2013,1,5,29,10,00,287.3093333,1026.0,5.0,94.0,7,4,0
306,50$ to 200$,2013,2,6,6,12,00,266.41,994.0,1.0,90.0,13,2,0
307,50$ to 200$,2013,2,6,9,19,17,274.3,1004.0,7.0,73.0,0,3,0
308,50$ to 200$,2013,2,7,14,9,00,271.255,1011.0,3.0,86.0,11,1,0
309,50$ to 200$,2013,2,7,16,10,00,272.62,1016.0,3.0,86.0,11,2,0
