OBJECTID,ID,UCR,CRIME,DATE_,TIME,CASE,ADDRESS,BEAT,X_COORD,Y_COORD
30525,30525,235,Over 200$,4/30/2014,9:00,D140045179A,1302 E WASHINGTON ST,NE20,195990.72,1646183.07
30526,30526,235,Over 200$,6/24/2015,18:00,D150085117A,1200 W 38TH ST,NW10,183108.97,1667277.12
30527,30527,235,Over 200$,7/21/2015,19:30,D150110844A,335 W 9TH ST,DT10,188432.15,1650716.68
30528,30528,235,Over 200$,8/21/2015,16:00,D150096401A,10 S WEST ST,DT30,187368.66,1646257.14
30529,30529,235,Over 200$,8/23/2015,13:00,D150096885A,200 W WASHINGTON ST,DT10,188897.77,1646304.72
30530,30530,235,Over 200$,8/30/2015,16:45,D150099986A,1500 BROAD RIPPLE AVE,ND50,197964.51,1684267.51
30531,30531,235,Over 200$,9/6/2015,17:01,D160014572A,N WASHINGTON BL/E 34TH ST,ND10,191691.98,1664732.45
30532,30532,235,Over 200$,9/12/2015,20:41,D150105786A,W WASHINGTON ST & S ILLINOIS S,DT10,189432.08,1646245.75
30533,30533,235,Over 200$,10/3/2015,13:00,D150115092A,140 W WASHINGTON ST,DT10,189222.47,1646293.16
30534,30534,235,Over 200$,11/19/2015,10:18,D150134505A,1330 N MERIDIAN ST,NW10,189965.56,1652783.76
30535,30535,235,Over 200$,1/6/2016,19:12,D160002275A,2525 SHELBY ST,SE20,195072.07,1633218.99
30536,30536,235,Over 200$,1/26/2016,11:49,D160009740A,132 E WASHINGTON ST,DT20,190627.22,1646246.09
30537,30537,235,Over 200$,1/26/2016,13:00,D160009842A,1502 E SUMNER AV,SE30,196840.33,1627510.81
30538,30538,235,Over 200$,2/11/2016,8:55,D160016223A,5325 E SOUTHPORT RD,SE40,212425.16,1609261.42
30539,30539,235,Over 200$,2/20/2016,16:08,D160019806A,5702 E WASHINGTON ST,NE50,214684.75,1647504.08
30540,30540,235,Over 200$,2/20/2016,16:15,D160019810A,320 N NEW JERSEY ST,DT20,191996.31,1647820.18
30541,30541,235,Over 200$,2/20/2016,18:00,D160019867A,854 BROAD RIPPLE AV,ND50,194225.74,1683608.67
30542,30542,235,Over 200$,2/21/2016,15:00,D160020369A,107 N PENNSYLVANIA ST,DT20,190572.63,1646824.42
30543,30543,235,Over 200$,2/21/2016,15:50,D160020154A,320 N NEW JERSEY ST,DT20,191996.31,1647820.18
30544,30544,235,Over 200$,2/21/2016,20:45,D160020217A,718 E TERRACE AVE,SE20,193076.37,1639434.75
30545,30545,235,Over 200$,2/24/2016,11:44,D160021358A,E 10TH ST/N COLLEGE AVE,DT20,193628.86,1651175.01
30546,30546,235,Over 200$,3/8/2016,18:05,D160026831A,2345 PAGODA DR,SE20,192469.68,1633717.7
30547,30547,235,Over 200$,3/20/2016,8:54,D160031681A,1409 OLIVE ST,SE10,195546.63,1639397.17
30548,30548,235,Over 200$,3/20/2016,15:36,D160031775A,929 N DREXEL AVE,NE50,208735.2,1650795.67
30549,30549,235,Over 200$,3/23/2016,0:00,D160032944A,1921 CORNELL AVE,NE10,194778.58,1655497.61
30550,30550,235,Over 200$,3/25/2016,17:12,D160034025A,2629 E 65TH ST,ND50,200885.02,1685518.25
30551,30551,235,Over 200$,3/31/2016,8:00,D160037792A,319 N WEST ST,DT10,187508.79,1647953.93
30552,30552,235,Over 200$,4/7/2016,20:21,D160039333A,MASSACHUSETTS AVE/N PARK AVE,DT20,193057.13,1649603.58
30553,30553,235,Over 200$,4/14/2016,15:30,D160042346A,125 MONUMENT CIR,DT20,190075.18,1647034.04
30554,30554,235,Over 200$,4/14/2016,21:00,D160042755A,3340 N MERIDIAN ST,ND10,190225.06,1664273.31
30555,30555,235,Over 200$,4/15/2016,20:42,D160042797A,5572 BLUE HL,SW60,162418.96,1648910.62
30556,30556,235,Over 200$,4/17/2016,17:00,D160043547A,6700 MONON TR,ND50,194674.64,1685659.82
30557,30557,235,Over 200$,4/21/2016,2:00,D160045067A,1845 WILKINS ST,SW20,179937.71,1641065.49
30558,30558,235,Over 200$,4/21/2016,8:22,D160045043A,842 N CAPITOL AVE,DT10,188977.88,1650673.02
30559,30559,235,Over 200$,4/23/2016,21:00,D160050772A,500 N ILLINOIS ST,DT10,189483.85,1648835.86
30560,30560,235,Over 200$,4/26/2016,9:05,D160047164A,2825 N NEW JERSEY ST,ND10,192173.32,1660912.28
30561,30561,235,Over 200$,4/29/2016,17:00,D160050234A,5323 VICTORIA DR S,SW50,183753,1617523.69
30562,30562,235,Over 200$,4/29/2016,99:99,D160049091A,3263 N NEW JERSEY ST,ND10,192159.44,1663810.81
30563,30563,235,Over 200$,5/1/2016,21:20,D160049651A,1967 SUFFOLK LN,ND70,180004.63,1692660.53
30564,30564,235,Over 200$,5/4/2016,14:00,D160051660A,26 W WASHINGTON ST,DT10,189664.81,1646360.43
30565,30565,235,Over 200$,5/5/2016,19:01,D160051371A,2541 BRAXTON DR,NE60,245681.56,1660082.88
30566,30566,235,Over 200$,5/6/2016,18:45,D160051853A,3158 GEORGETOWN RD,NW30,166953.45,1663009.3
30567,30567,235,Over 200$,5/9/2016,10:30,D160052917A,2236 E 10TH ST,NE20,199863.96,1651469.34
30568,30568,235,Over 200$,5/9/2016,21:00,D160053423A,3949 BENNETT DR,NW30,160593.87,1668419.3
30569,30569,235,Over 200$,5/11/2016,17:06,D160054066A,3021 SOUTHEASTERN AVE,SE10,202578.86,1643146.59
30570,30570,235,Over 200$,5/12/2016,2:00,D160054348A,1751 NELSON AVE,SE20,198152.53,1632052.23
30571,30571,235,Over 200$,5/14/2016,13:44,D160055386A,2154 N BOSART AVE,NE30,208908.84,1657331.3
30572,30572,235,Over 200$,5/15/2016,12:00,D160056319A,930 W 10TH ST,NW10,185464.84,1651333.37
30573,30573,235,Over 200$,5/15/2016,12:31,D160055711A,808 ARBOR AVE,SW20,182581.61,1642453.74
30574,30574,235,Over 200$,5/16/2016,10:21,D160056024A,1401 N PENNSYLVANIA ST,NE10,190733.21,1653171.33
30575,30575,235,Over 200$,5/17/2016,23:00,D160057065A,1038 DAWSON ST,SE10,197868.27,1641109.82
30576,30576,235,Over 200$,5/19/2016,22:54,D160057872A,949 VIRGINIA AVE,SE10,194363.45,1641523.3
30577,30577,235,Over 200$,5/25/2016,12:53,D160060262A,5550 E WASHINGTON ST,NE50,213988.23,1647517.03
30578,30578,235,Over 200$,5/25/2016,22:00,D160060776A,3433 CENTRAL AVE,ND10,192849.96,1665099.28
30579,30579,235,Over 200$,5/29/2016,18:02,D160062176A,6122 EASTRIDGE DR,NE50,217288.38,1652005.52
30580,30580,235,Over 200$,5/31/2016,17:00,D160063005A,201 N ILLINOIS ST,DT10,189613.78,1647414.93
30581,30581,235,Over 200$,5/31/2016,17:51,D160063029A,925 N GRAHAM AVE,NE50,215273.77,1650763.66
30582,30582,235,Over 200$,6/2/2016,9:00,D160063864A,3029 MADISON AVE,SE30,192194.32,1629760.64
30583,30583,235,Over 200$,6/2/2016,21:00,D160066199A,4004 MANN VILLAGE RD,SW70,167065.31,1623962.71
30584,30584,235,Over 200$,6/4/2016,2:00,D160064712A,217 W MICHIGAN ST,DT10,188743.17,1648794.38
30585,30585,235,Over 200$,6/5/2016,9:46,D160065129A,182 N EXETER AVE,SW10,172887.48,1646517.47
30586,30586,235,Over 200$,6/7/2016,1:00,D160065970A,2745 S TAFT AVE,SW60,168075.66,1630964.08
30587,30587,235,Over 200$,6/10/2016,12:25,D160067605A,1 N MERIDIAN ST,DT20,190006.02,1646347.31
30588,30588,235,Over 200$,6/11/2016,13:59,D160067948A,3155 SANDPIPER N DR N,ND70,174082.28,1704217.88
30589,30589,235,Over 200$,6/13/2016,20:40,D160069477A,618 COFFEY ST,SW20,182201.26,1642960.68
30590,30590,235,Over 200$,6/15/2016,18:30,D160070090A,700 N ALABAMA ST,DT20,191553.25,1649734.02
30591,30591,235,Over 200$,6/18/2016,16:30,D160071335A,6114 CARVEL AVE,ND50,195231.57,1682271.07
30592,30592,235,Over 200$,6/19/2016,17:23,D160071733A,5005 BERTHA ST,SW60,165733.94,1643877.78
30593,30593,235,Over 200$,6/20/2016,23:00,D160073216A,307 S DELAWARE ST,DT40,190946.17,1644585.89
30594,30594,235,Over 200$,6/21/2016,11:00,D160073174A,1620 CENTRAL AVE,NE10,192296.48,1654198.59
30595,30595,235,Over 200$,6/22/2016,17:00,D160073638A,844 BLAKE ST,DT10,185703.01,1650573.02
30596,30596,235,Over 200$,6/24/2016,8:15,D160076125A,893 S DELAWARE ST,DT40,190843.18,1641820.37
30597,30597,235,Over 200$,6/24/2016,16:14,D160074202A,1137 KNOX ST,SE30,195430.61,1629788.85
30598,30598,235,Over 200$,7/3/2016,99:99,D160079053A,3216 W MICHIGAN ST,SW15,174591.96,1649058.91
30599,30599,235,Over 200$,7/5/2016,14:30,D160079201A,126 W GEORGIA ST,DT30,189038.04,1645366.73
30600,30600,235,Over 200$,7/6/2016,8:45,D160079559A,222 E MARKET ST,DT20,191237.41,1646858.89
30601,30601,235,Over 200$,7/7/2016,21:00,D160080602A,800 N CAPITOL AVE,DT10,188925.27,1650434.73
30602,30602,235,Over 200$,7/10/2016,23:13,D160081663A,2507 JACKSON ST,SW10,177264.13,1645023.82
30603,30603,235,Over 200$,7/14/2016,1:00,D160083279A,1022 HOSBROOK ST,SE10,194646.8,1641856.74
30604,30604,235,Over 200$,7/14/2016,18:00,D160083667A,1002 BROAD RIPPLE AVE,ND55,194792.84,1683720.66
30605,30605,235,Over 200$,7/14/2016,19:00,D160083793A,10267 JOHN JAY DR,NE70,238310.15,1666009.9
30606,30606,235,Over 200$,7/20/2016,18:07,D160086163A,707 E NORTH ST N,DT20,193587.2,1649274.48
30607,30607,235,Over 200$,7/20/2016,18:34,D160086157A,8503 NEW FIELD CT,SW80,146865.92,1638822.09
30608,30608,235,Over 200$,7/21/2016,10:30,D160086439A,9239 WIND RIVER CT,NW70,142817.47,1652024.73
30609,30609,235,Over 200$,7/21/2016,17:57,D160086647A,1805 WOODLAWN AVE,SE10,198044.41,1641420.49
30610,30610,235,Over 200$,7/21/2016,19:00,D160086666A,802 N DEQUINCY ST,NE50,209701.12,1650500.69
30611,30611,235,Over 200$,7/26/2016,14:36,D160088830A,6773 LAMBERT ST,SW80,155784.2,1639139.37
30612,30612,235,Over 200$,7/27/2016,9:00,D160089266A,5892 SHIMER AVE,NE50,215693.13,1643439.25
30613,30613,235,Over 200$,7/27/2016,20:35,D160089508A,5539 E WASHINGTON ST,NE50,213903.7,1647377.14
30614,30614,235,Over 200$,7/28/2016,10:41,D160132999A,1236 S RICHLAND ST,SW20,180608.51,1640040.95
30615,30615,235,Over 200$,8/1/2016,12:30,D160091819A,532 E 30TH ST,ND10,192787.19,1662010.79
30616,30616,235,Over 200$,8/1/2016,13:00,D160093628A,5110 DICKSON RD,ND30,211260.69,1674685.18
30617,30617,235,Over 200$,8/1/2016,14:26,D160091509A,2906 S RYBOLT AVE,SW60,168921.29,1629984.18
30618,30618,235,Over 200$,8/2/2016,7:52,D160091801A,1509 N OLNEY ST,NE20,204423.31,1653632.27
30619,30619,235,Over 200$,8/3/2016,13:30,D160092512A,4251 HAUGHEY AVE,ND10,185108.2,1670253.87
30620,30620,235,Over 200$,8/3/2016,17:12,D160092567A,613 JEFFERSON AVE,NE20,199716.15,1649759.66
30621,30621,235,Over 200$,8/3/2016,99:99,D160095980A,813 E 46TH ST,ND16,194165.16,1672601.53
30622,30622,235,Over 200$,8/4/2016,18:21,D160093067A,132 NEAL AVE,SW10,180006.07,1645465.39
30623,30623,235,Over 200$,8/6/2016,14:00,D160093889A,7526 CASTLETON FARMS W DR W,ND60,223695.73,1691362.65
30624,30624,235,Over 200$,8/7/2016,5:17,D160094182A,201 W 38TH ST,ND10,188982.23,1667168.08
30625,30625,235,Over 200$,8/8/2016,20:00,D160095294A,7484 ROCKLEIGH AVE,SW80,152372.16,1646129.85
30626,30626,235,Over 200$,8/8/2016,99:99,D160139278A,335 W 9TH ST,DT10,188171.67,1650635.57
30627,30627,235,Over 200$,8/9/2016,8:15,D160095304A,530 E OHIO ST,DT20,192832.52,1647306.46
30628,30628,235,Over 200$,8/10/2016,0:21,D160095508A,922 N DELAWARE ST,DT20,191078.37,1650733.32
