OBJECTID,UCR,CRIME,DATE_,TIME,CASE,ADDRESS,BEAT,X_COORD,Y_COORD
82926,235,Over 200$,6/27/2014,13:00,D140067804A,2265 N TIBBS AVE,NW20,173749.75,1657291.37
82927,235,Over 200$,6/28/2014,11:00,D140067958A,1020 BROAD RIPPLE AVE,ND50,194901.24,1683615.73
82928,235,Over 200$,7/1/2014,15:00,D140069792A,200 S BUTLER AVE,NE50,212058.91,1646129.92
82929,235,Over 200$,7/2/2014,9:45,D140069604A,302 W WASHINGTON ST,DT10,187926.83,1646612.82
82930,235,Over 200$,7/4/2014,15:00,D140070253A,W NEW YORK ST & N ILLINOIS ST,DT10,189485.57,1647788.47
82931,235,Over 200$,7/9/2014,8:57,D140071880A,7155 ROSSDALE PL,SW70,154031.18,1616600.35
82932,235,Over 200$,7/10/2014,18:45,D140072515A,719 VIRGINIA AV,DT40,193522.72,1642628.93
82933,235,Over 200$,7/12/2014,10:30,D140073077A,5106 KINGSLEY DR,ND50,197891.87,1674734.67
82934,235,Over 200$,7/12/2014,10:45,D140073088A,3553 FOUNDERS RD,ND70,172516.71,1699559.3
82935,235,Over 200$,7/16/2014,8:30,D140080447A,2424 N NEW JERSEY ST,NE10,192060.1,1658811.02
82936,235,Over 200$,7/16/2014,21:30,D140075520A,230 E 9TH ST,DT20,191267.78,1650601.65
82937,235,Over 200$,7/18/2014,13:00,D140075529A,5640 N ILLINOIS ST,ND50,189559.66,1678022.27
82938,235,Over 200$,7/19/2014,20:00,D140076106A,1401 N MERIDIAN ST,NE10,190324.65,1653174.44
82939,235,Over 200$,7/22/2014,17:00,D140077103A,100 W WASHINGTON ST,DT30,189434.02,1646244.01
82940,235,Over 200$,7/23/2014,7:30,D140077211A,1326 LINDEN ST,SE10,195844.56,1639797.66
82941,235,Over 200$,7/23/2014,23:46,D140077534A,1140 LONGWELL LN,ND70,195604,1704307.1
82942,235,Over 200$,7/24/2014,10:00,D140077977A,944 N LASALLE ST,NE20,203528.59,1650989.13
82943,235,Over 200$,7/24/2014,13:30,D140077748A,1645 N BELLEVIEW PL,NW20,177418.9,1654299.31
82944,235,Over 200$,7/26/2014,16:30,D140079253A,2502 SHELBY ST,SE20,195031.69,1633440.16
82945,235,Over 200$,7/27/2014,0:05,D140078761A,3731 BLUFF RD,SW50,186496.08,1625956.32
82946,235,Over 200$,7/28/2014,0:00,D140079023A,3554 SHELBY ST,SE30,195057.29,1626973.15
82947,235,Over 200$,7/28/2014,12:00,D140081600A,233 E ST JOSEPH ST,DT20,191415.55,1650940.26
82948,235,Over 200$,7/28/2014,14:29,D140079150A,30 S MERIDIAN ST,DT30,189912.55,1645956.38
82949,235,Over 200$,7/28/2014,15:00,D140079479A,230 S ALABAMA ST,DT40,191419.28,1645144.26
82950,235,Over 200$,7/29/2014,23:00,D140080625A,500 W WASHINGTON ST,DT30,186947.38,1646689.76
82951,235,Over 200$,7/29/2014,23:00,D140079739A,1335 N EWING ST,NE20,204961.07,1652789.88
82952,235,Over 200$,8/5/2014,19:25,D140082258A,50 W WASHINGTON ST,DT10,189693.59,1646256.12
82953,235,Over 200$,8/6/2014,15:00,D140082660A,650 DIVISION ST,SW20,182860.39,1642641.34
82954,235,Over 200$,8/9/2014,14:00,D140084039A,6787 E 10TH ST,NE50,220257.35,1651403.39
82955,235,Over 200$,8/9/2014,16:44,D140083770A,734 HARDIN BL,SW60,160224.91,1642006.4
82956,235,Over 200$,8/10/2014,16:16,D140084155A,3926 S EWING ST,SE30,205005.81,1625373.96
82957,235,Over 200$,8/11/2014,17:00,D140085024A,1427 BROADWAY ST,NE10,193316.81,1653031.9
82958,235,Over 200$,8/13/2014,2:59,D140085098A,1209 N ARSENAL AVE,NE20,196909.69,1652054.76
82959,235,Over 200$,8/14/2014,12:00,D140085612A,40 E ST CLAIR ST,DT20,190287.76,1650220.17
82960,235,Over 200$,8/14/2014,15:19,D140085661A,215 E 38TH ST,ND10,191550.48,1667132.14
82961,235,Over 200$,8/16/2014,7:00,D140090373A,850 N OAKLAND AVE,NE20,202596.23,1650695.29
82962,235,Over 200$,8/16/2014,7:22,D140086267A,3517 CARR AVE,SW70,172828.33,1629164.9
82963,235,Over 200$,8/18/2014,0:01,D140086902A,1150 N BELLEVIEW PL,SW10,177381.84,1652259.39
82964,235,Over 200$,8/22/2014,14:11,D140088682A,5334 E 43RD ST,ND30,212446.51,1670645.16
82965,235,Over 200$,8/25/2014,19:00,D140090062A,418 CANAL VIEW WAY,DT10,187704.89,1649424
82966,235,Over 200$,8/26/2014,99:99,D140090468A,448 N STATE AV,NE20,197567.92,1648474.5
82967,235,Over 200$,8/30/2014,17:49,D140091927A,3838 E 82ND ST,ND60,206151.1,1697785.73
82968,235,Over 200$,8/31/2014,7:47,D140092080A,2446 COLLIER ST,SW60,169319.24,1633056.86
82969,235,Over 200$,8/31/2014,9:49,D140092097A,5141 E NORTH ST,NE50,211257.6,1649308.42
82970,235,Over 200$,9/1/2014,10:00,D140093521A,658 E 11TH ST,DT20,193534.57,1651577.85
82971,235,Over 200$,9/3/2014,4:30,D140093472A,5355 CLAYBROOKE DR,SW70,163150.24,1619600.79
82972,235,Over 200$,9/3/2014,13:21,D140093340A,953 PROSPECT ST,SE10,194191.85,1640791.19
