OBJECTID,UCR,CRIME,DATE_,TIME,CASE,ADDRESS,BEAT,X_COORD,Y_COORD
92349,245,50$ to 200$,7/22/2014,23:00,D140077226A,902 N DREXEL AVE,NE50,208648.93,1650701.77
92350,245,50$ to 200$,7/24/2014,21:00,D140078245A,2523 LARMAN DR,SE50,201247.57,1602504.07
92351,245,50$ to 200$,7/27/2014,0:01,D140078660A,2504 W WASHINGTON ST,SW10,177246.1,1645892.94
92352,245,50$ to 200$,7/28/2014,11:20,D140079136A,6010 W 86TH ST,NW80,159527.86,1698675.01
92353,245,50$ to 200$,7/29/2014,0:00,D140079404A,3718 E NEW YORK ST,NE20,205402.93,1648061.72
92354,245,50$ to 200$,7/29/2014,5:20,D140079450A,734 N LINWOOD AVE,NE50,208346.18,1649838.2
92355,245,50$ to 200$,8/1/2014,2:30,D140080546A,469 N STATE AV,NE20,197687.51,1648576.44
92356,245,50$ to 200$,8/1/2014,12:13,D140080635A,1232 ROWIN RD,ND50,195707.91,1677516.1
92357,245,50$ to 200$,8/1/2014,14:56,D140080680A,3801 N POST RD,NE70,231799.96,1667663.04
92358,245,50$ to 200$,8/1/2014,22:30,D140081092A,875 LOCKEFIELD ST,DT10,185754.2,1650382.99
92359,245,50$ to 200$,8/2/2014,13:32,D140081022A,9015 CRAWFORDSVILLE RD,NW70,144036.75,1664200.41
92360,245,50$ to 200$,8/3/2014,8:00,D140081472A,40 S DELAWARE ST,DT40,190930.77,1645756.25
92361,245,50$ to 200$,8/3/2014,20:00,D140081439A,720 ARNOLDA,SW10,175478.74,1649828.11
92362,245,50$ to 200$,8/5/2014,22:25,D140082290A,706 N DENNY ST,NE50,206227.29,1649635.11
92363,245,50$ to 200$,8/7/2014,99:99,D140085722A,2711 MARS HILL ST,SW60,170018.48,1631341.61
92364,245,50$ to 200$,8/8/2014,17:36,D140083453A,E 25TH & N SHERIDAN,NE30,217766.03,1659334.12
92365,245,50$ to 200$,8/8/2014,17:50,D140083464A,5610 RAWLES AVE,NE50,214138.56,1644741.77
92366,245,50$ to 200$,8/9/2014,13:29,D140084493A,429 W OHIO ST,DT10,187590.05,1647185.56
92367,245,50$ to 200$,8/9/2014,20:00,D140083869A,7101 E 10TH ST,NE50,222468.59,1651152.95
92368,245,50$ to 200$,8/9/2014,99:99,D140090519A,3030 E BANTA RD,SE50,203190.21,1611755.44
92369,245,50$ to 200$,8/10/2014,9:38,D140084007A,1518 SAULCY ST,SW10,181580.71,1647681.37
92370,245,50$ to 200$,8/10/2014,18:20,D140084176A,1019 N EXETER AVE,SW10,172627.5,1651413.64
92371,245,50$ to 200$,8/12/2014,15:55,D140084939A,1636 SLOAN AVE,SE10,209715.54,1638552.06
92372,245,50$ to 200$,8/12/2014,16:00,D140085551A,3014 BAYSIDE DR,NW70,154386.57,1661750.4
92373,245,50$ to 200$,8/12/2014,20:37,D140086468A,1121 LINDEN ST,SE10,195891.86,1640720.43
92374,245,50$ to 200$,8/13/2014,3:00,D140085099A,54 S 25TH AVE,SE30,203023.74,1629283.32
92375,245,50$ to 200$,8/14/2014,8:06,D140085729A,5216 MELROSE AV,SW60,164433.48,1636721.81
92376,245,50$ to 200$,8/17/2014,18:17,D140086761A,1711 PORTAGE TE,SE50,197898.68,1605719.25
92377,245,50$ to 200$,8/19/2014,22:30,D140087703A,665 TEMPERANCE AVE,SE10,208404.19,1643068.41
92378,245,50$ to 200$,8/21/2014,6:30,D140089749A,2815 WESTBROOK AVE,SW60,166888.06,1630576.48
92379,245,50$ to 200$,8/21/2014,15:00,D140089812A,7001 W WASHINGTON ST,SW80,154408.69,1637425.7
92380,245,50$ to 200$,8/22/2014,19:24,D140088810A,1955 BELLEFONTAINE ST,NE10,194435.24,1655703.23
92381,245,50$ to 200$,8/23/2014,10:40,D140088992A,2630 W MICHIGAN ST,SW10,176986.37,1649074.04
92382,245,50$ to 200$,8/24/2014,9:30,D140089827A,420 S OAKLAND AVE,SE10,202630.66,1643982.87
92383,245,50$ to 200$,8/25/2014,13:03,D140092436A,3160 GRACELAND AVE,ND10,188734.02,1662902.04
92384,245,50$ to 200$,8/25/2014,99:99,D140090515A,1303 W 73RD ST,ND70,183426.94,1689653.41
92385,245,50$ to 200$,8/26/2014,20:00,D140090976A,434 CANAL CT SDR,DT10,187616.74,1649922.43
92386,245,50$ to 200$,8/26/2014,99:99,D140090595A,2814 HIGHLAND PL,NW10,188233.12,1660735.47
92387,245,50$ to 200$,8/27/2014,10:20,D140090513A,5400 E 21ST ST,NE30,213111.6,1656762.52
92388,245,50$ to 200$,8/28/2014,7:31,D140090880A,W 34TH & MOLLER,NW30,162534.63,1664380.43
92389,245,50$ to 200$,8/28/2014,17:40,D140091150A,3326 N PENNSYLVANIA ST,ND10,191076.95,1664105.5
92390,245,50$ to 200$,8/29/2014,15:00,D140091567A,520 E MARKET ST,DT20,192734.51,1646798.38
92391,245,50$ to 200$,8/29/2014,20:48,D140091630A,1 S IRVINGTON AVE,NE50,213105.37,1647352.93
92392,245,50$ to 200$,8/29/2014,21:44,D140091651A,2907 DR MARTIN LUTHER KIN ST,NW10,185835.77,1661353.26
92393,245,50$ to 200$,8/30/2014,22:05,D140091975A,7649 MARABOU MILL,NW70,151143.53,1664582.7
92394,245,50$ to 200$,9/1/2014,0:15,D140092328A,5849 BROCKTON DR,ND50,204040.67,1679893.61
92395,245,50$ to 200$,9/1/2014,8:00,D140094893A,4071 MACKENZIE WAY,SW70,168666.16,1623289.97
92396,245,50$ to 200$,9/1/2014,8:53,D140093772A,8912 COMPTON ST,ND70,195352.06,1700912.96
92397,245,50$ to 200$,9/3/2014,19:00,D140093634A,3622 ALEXANDRIA CT,ND20,204413.1,1669741.55
92398,245,50$ to 200$,9/4/2014,11:30,D140093701A,1610 E WASHINGTON ST,NE20,197387.24,1646374.19
92399,245,50$ to 200$,9/5/2014,13:45,D140094260A,23 N RURAL ST,NE20,201833.58,1646939.97
92400,245,50$ to 200$,9/5/2014,23:00,D140094473A,611 N CAPITOL AVE,DT10,189051.67,1649453.91
92401,245,50$ to 200$,9/5/2014,99:99,D140097265A,2264 N MORELAND AV,NW20,174053.85,1657180.17
92402,245,50$ to 200$,9/7/2014,14:38,D140094915A,31 S SPENCER AVE,NE50,211509.98,1647009.66
92403,245,50$ to 200$,9/8/2014,13:18,D140095255A,40 E ST CLAIR ST,DT20,190287.76,1650220.17
92404,245,50$ to 200$,9/8/2014,16:24,D140095318A,4238 TORINO CT,NE70,232194.44,1670520.49
92405,245,50$ to 200$,9/9/2014,8:36,D140095494A,702 BLAKE ST,DT10,185385.64,1649935.49
92406,245,50$ to 200$,9/9/2014,11:59,D140095625A,801 FOLTZ ST,SW60,170065.02,1642143.79
92407,245,50$ to 200$,9/9/2014,23:30,D140095959A,1854 SINGLETON ST,SE20,192686.7,1637306.81
92408,245,50$ to 200$,9/10/2014,11:28,D140095964A,2211 PROSPECT ST,SE10,199427.56,1640824.87
92409,245,50$ to 200$,9/10/2014,17:35,D140096098A,720 DR M L KING JR ST,DT10,187403.42,1649950.27
92410,245,50$ to 200$,9/12/2014,5:30,D140096872A,5443 TARA CT N,NW30,162763.25,1663656.36
92411,245,50$ to 200$,9/12/2014,18:34,D140102275A,5737 W 43RD ST,NW30,160962.46,1670248.42
92412,245,50$ to 200$,9/13/2014,0:01,D140102507A,532 N LASALLE ST,NE20,203473.65,1649238.84
92413,245,50$ to 200$,9/13/2014,12:00,D140097238A,2310 N KENWOOD AV,NW10,189391.11,1657970.21
92414,245,50$ to 200$,9/13/2014,18:00,D140098728A,1012 N BEVILLE AVE,NE20,199971.23,1651537.38
92415,245,50$ to 200$,9/16/2014,12:00,D140101641A,DR M L KING JR & W 10,DT10,187087.73,1651279.96
92416,245,50$ to 200$,9/16/2014,16:24,D140098315A,5430 E WASHINGTON ST,NE50,213331.46,1647406.32
92417,245,50$ to 200$,9/16/2014,18:00,D140098928A,1600 N RITTER AVE,NE30,213655.62,1654073.59
92418,245,50$ to 200$,9/19/2014,17:00,D140099596A,4860 OAKBROOK DR,NW80,166392.35,1680917.57
92419,245,50$ to 200$,9/23/2014,11:10,D140102064A,1051 TENNIS COURT CI,ND70,184662.25,1703253.14
92420,245,50$ to 200$,9/24/2014,16:15,D140101452A,1505 E 86TH ST,ND70,197098.29,1699139.72
92421,245,50$ to 200$,9/26/2014,11:26,D140102070A,2400 VILLA AVE,SE20,199112.23,1634244.65
92422,245,50$ to 200$,9/26/2014,15:50,D140102169A,1337 N CONCORD ST,SW10,175214.31,1652985.33
92423,245,50$ to 200$,9/27/2014,19:00,D140102650A,3072 FALCON DR,NW20,169196.3,1662444.46
92424,245,50$ to 200$,9/28/2014,12:15,D140102776A,700 N MERIDIAN ST,DT10,190047.86,1649773.82
92425,245,50$ to 200$,9/29/2014,23:17,D140103381A,123 E 44TH ST,ND10,191222.63,1671139.67
92426,245,50$ to 200$,10/1/2014,14:01,D140103978A,556 EASTERN AVE,NE20,201249.8,1649253.41
92427,245,50$ to 200$,10/3/2014,17:30,D140104940A,6191 N KEYSTONE AVE,ND50,200396.77,1682950.99
92428,245,50$ to 200$,10/3/2014,22:19,D140104973A,3844 RED MILL PL,NE70,225703.5,1667899.3
92429,245,50$ to 200$,10/8/2014,14:30,D140109524A,1216 KAPPES ST,SW20,179683.96,1640332.79
92430,245,50$ to 200$,10/8/2014,18:05,D140106689A,8331 LENOX LN,ND70,176634.16,1697336.83
92431,245,50$ to 200$,10/8/2014,21:00,D140107028A,2516 FOX HARBOUR CT,SE30,200942.47,1622879.56
92432,245,50$ to 200$,10/15/2014,7:30,D140109148A,9368 NORCROSS CT,ND70,180149.96,1703062
92433,245,50$ to 200$,10/20/2014,16:45,D140110976A,8323 E WASHINGTON ST,NE60,228515.49,1648304.8
92434,245,50$ to 200$,10/21/2014,0:01,D140111229A,801 WYCKFORD DR,SW80,150811.58,1649935.89
92435,245,50$ to 200$,10/22/2014,15:16,D140111667A,4202 S EAST ST,SE30,192194.79,1623315.48
92436,245,50$ to 200$,10/23/2014,10:00,D140111984A,W WASHINGTON ST & S BELLEVIEW PL,SW10,177340.75,1645776.55
92437,245,50$ to 200$,10/24/2014,19:30,D140112644A,2140 WHEATGRASS WAY,ND70,178821.88,1692385.28
92438,245,50$ to 200$,10/31/2014,16:42,D140115072A,1202 E WASHINGTON ST,NE20,195623.08,1646180.63
92439,245,50$ to 200$,11/8/2014,23:00,D140118714A,1201 INDIANA AVE,NW10,184127.03,1652330.23
92440,245,50$ to 200$,11/10/2014,9:00,D140120747A,847 N GRANT AVE,NE50,206984.83,1650449.08
92441,245,50$ to 200$,11/21/2014,11:56,D140122354A,805 N DEQUINCY ST,NE50,209833.82,1650494.57
92442,245,50$ to 200$,11/22/2014,14:00,D140122784A,4633 GARVOK CT,SE30,206700.34,1621575.34
92443,245,50$ to 200$,11/29/2014,21:22,D140125022A,3624 S KEYSTONE AVE,SE30,200352.44,1626555.89
92444,245,50$ to 200$,11/30/2014,15:00,D140125322A,3522 HYANNIS PORT DR,NW70,153304.04,1665248.84
92445,245,50$ to 200$,12/13/2014,22:00,D140129986A,49 W MARYLAND ST,DT30,189671.4,1645695.63
92446,245,50$ to 200$,12/14/2014,19:50,D140130253A,5219 PINEBROOK DR,NW80,165887.79,1675467.04
92447,245,50$ to 200$,12/22/2014,10:10,D140132769A,2001 N COLLEGE AVE,NE10,193752.61,1655997.9
92448,245,50$ to 200$,12/22/2014,23:00,D140133270A,605 N PENNSYLVANIA ST,DT20,190645.56,1649360.54
92449,245,50$ to 200$,12/22/2014,23:30,D140133089A,520 E MARKET ST,DT20,192734.51,1646798.38
92450,245,50$ to 200$,12/28/2014,17:54,D140134660A,2350 BROAD RIPPLE AVE,ND50,200029.96,1683204.43
98354,255,Under 50$,6/3/2014,19:00,D140058283A,100 N ARSENAL AVE,NE20,196860.87,1646569.73
98355,255,Under 50$,6/11/2014,22:00,D140061807A,2540 APPLETON DR,SE50,201300.11,1603146.34
98356,255,Under 50$,6/19/2014,11:12,D140064390A,805 N BANCROFT ST,NE50,210615.24,1650489.37
98357,255,Under 50$,6/20/2014,1:51,D140064694A,W TROY & FOLTZ,SW70,169662.38,1629344.92
98358,255,Under 50$,6/20/2014,12:02,D140064830A,1400 E 30TH ST,ND20,196344.99,1662105.97
98359,255,Under 50$,7/7/2014,20:23,D140071340A,4314 NORWALDO AVE,ND10,198280.47,1670921.37
98360,255,Under 50$,7/19/2014,14:37,D140075834A,E 38TH & N KEYSTONE AVE,ND20,200272.41,1667394.53
98361,255,Under 50$,8/7/2014,15:30,D140083234A,680 TWIN AIRE DR,SE10,201950.32,1642943.41
98362,255,Under 50$,8/7/2014,17:05,D140082987A,3021 W WASHINGTON ST,SW10,175170.66,1645377.22
98363,255,Under 50$,8/18/2014,19:30,D140087221A,3001 PAWNEE DR,NE70,239563.97,1662286.76
98364,255,Under 50$,8/27/2014,22:01,D140090800B,556 N LYONS,SW10,168846.98,1649092.42
98365,255,Under 50$,9/22/2014,14:36,D140100656A,2429 IDLEWOOD DR,ND70,200579.38,1694777.65
98366,255,Under 50$,9/29/2014,2:50,D140103206A,1325 W 86TH ST,ND70,183327.94,1699110.94
98367,255,Under 50$,10/5/2014,20:59,D140105571A,3000 SOUTHEASTERN AVE,SE10,202552.44,1643349.89
98368,255,Under 50$,10/7/2014,17:03,D140106268A,2805 PLAZA DR,ND70,175799.15,1696667.37
98369,255,Under 50$,10/12/2014,14:04,D140107990A,555 MASSACHUSETTS AVE,DT20,192367.29,1648975.35
98370,255,Under 50$,10/21/2014,3:25,D140111120A,8013 W WASHINGTON ST,SW80,149219.1,1635388.54
98371,255,Under 50$,11/3/2014,22:00,D140116220A,3139 RIVER SHORE PL,NW10,180961.24,1662862.6
