OBJECTID,UCR,CRIME,DATE_,TIME,CASE,ADDRESS,BEAT,DIST,AT,X_COORD,Y_COORD
46555,235,Over 200$,2/3/2010,1:00,D100016883A, 01205 COMMUNITY PL,SE53,SE,53,195294.92,1599093.13
46556,235,Over 200$,1/12/2011,0:02,D110005011A, 02363 N ALABAMA ST,NE11,NE,11,191752.08,1658378.05
46557,235,Over 200$,1/28/2011,21:55,D110012819A, 02860 VILLA AV,SE24,SE,24,199269.02,1631133.89
46558,235,Over 200$,2/1/2011,0:01,D110018201A, 03800 W MICHIGAN ST,SW11,SW,11,171099.35,1648794.17
46559,235,Over 200$,2/23/2011,0:01,D110023824A, 00520 E MARKET ST,DT31,DT,31,192695.93,1646692.36
46560,235,Over 200$,2/24/2011,18:00,D110025104A, 04818 SUNVIEW CR,SE54,SE,54,209897.23,1607390.36
46561,235,Over 200$,2/26/2011,14:30,D110800016A, 00599 W WESTFIELD BL,ND42,ND,42,187080.65,1675405.13
46562,235,Over 200$,3/2/2011,23:00,D110029930A, 03821 RUE FLAMBEAU,ND64,ND,64,205754.39,1677133.8
46563,235,Over 200$,3/4/2011,1:00,D110028381A, 00940 N PENNSYLVANIA ST,DT21,DT,21,190599.02,1650983.84
46564,235,Over 200$,3/14/2011,13:30,D110034100A, 00902 N MERIDIAN ST,DT12,DT,12,190078.11,1650677.25
46565,235,Over 200$,3/15/2011,19:05,D110034139A, 00718 PARKWAY AV,SE21,SE,21,193208.25,1639640.8
46566,235,Over 200$,3/16/2011,17:30,D110034680A, 00100 N ILLINOIS ST,DT13,DT,13,189430.99,1646782.69
46567,235,Over 200$,3/17/2011,20:30,D110035291A, 00310 N SUMMIT ST,NE22,NE,22,197195.65,1647500.59
46568,235,Over 200$,3/18/2011,14:00,D110036103A, 07306 E 30TH ST,NE33,NE,33,223239.78,1662114.54
46569,235,Over 200$,3/23/2011,20:00,D110038956A, 03139 KENTUCKY AV,SW72,SW,72,169507.89,1628445.76
46570,235,Over 200$,3/24/2011,18:00,D110045089A, 01515 N PARK AV,NE11,NE,11,192925.4,1653429.75
46571,235,Over 200$,3/28/2011,16:45,D110040832A, 08350 ANDRUSUA LN,SE54,SE,54,206250.36,1601941.29
46572,235,Over 200$,4/3/2011,16:00,D110043913A, 00047 S PENNSYLVANIA ST,DT32,DT,32,190459.73,1645879.76
46573,235,Over 200$,4/8/2011,14:00,D110062727A, 03364 GAINESVILLE CT,SE54,SE,54,203665.31,1600729.42
46574,235,Over 200$,4/8/2011,16:27,D110046753A, 00458 S WEBSTER AV,NE54,NE,54,216753.7,1644168.64
46575,235,Over 200$,4/12/2011,19:03,D110049005A, 05910 CARROLLTON AV,ND52,ND,52,193858.08,1680980.8
46576,235,Over 200$,4/15/2011,0:01,D110083551A, 03708 CIRCLE BL,ND64,ND,64,205062.17,1676462.73
46577,235,Over 200$,4/15/2011,16:30,D110053335A, 01152 CHURCHMAN AV,SE12,SE,12,199381.72,1640580.9
46578,235,Over 200$,4/17/2011,20:30,D110051768A, 05517 EPLER RD,SW72,SW,72,162155.84,1616407.19
46579,235,Over 200$,4/20/2011,15:30,D110055866A, 02438 N DELAWARE ST,NE11,NE,11,191389.03,1658891.87
46580,235,Over 200$,4/20/2011,20:55,D110053387A, 00811 N ILLINOIS ST,DT12,DT,12,189588.91,1650329.76
46581,235,Over 200$,4/22/2011,21:00,D110054556A, 00870 MASSACHUSETTS AV,DT22,DT,22,194187.82,1650611.01
46582,235,Over 200$,4/23/2011,0:30,D110062096A, 00242 E 12TH ST,NE11,NE,11,191355.29,1652119.54
46583,235,Over 200$,4/28/2011,21:00,D110057945A, 02045 E MICHIGAN ST,NE23,NE,23,198982.82,1648814.9
46584,235,Over 200$,5/2/2011,15:08,D110059473A, 03900 ARQUETTE DR,NE72,NE,72,235247.09,1668397.67
46585,235,Over 200$,5/3/2011,16:45,D110060131A, 01801 NOWLAND AV,NE21,NE,21,198340.94,1652774.84
46586,235,Over 200$,5/8/2011,13:00,D110063147A, 03935 GRACELAND AV,ND42,ND,42,188757.85,1668075.97
46587,235,Over 200$,5/9/2011,22:00,D110063960A, 01323 WADE ST,SE24,SE,24,195974.82,1634531.08
46588,235,Over 200$,5/11/2011,10:00,D110064585A, N CAPITOL AV & W MARKET ST,DT13,DT,13,188941.01,1646791.53
46589,235,Over 200$,5/11/2011,13:30,D110064633A, 07215 S FRANKLIN RD,SE44,SE,44,229040.77,1608346.97
46590,235,Over 200$,5/11/2011,23:00,D110064990A, 07478 MALLARD CT,ND71,ND,71,182177.41,1690787.5
46591,235,Over 200$,5/15/2011,12:15,D110066730A, E 82ND ST & PRAIRIE VIEW DR,ND63,ND,63,232839.12,1695047.59
46592,235,Over 200$,5/16/2011,12:00,D110077110A, 03602 FAIRGROVE DR,SE54,SE,54,204677.66,1602070.57
46593,235,Over 200$,5/16/2011,20:30,D110067356A, 05813 BEACHVIEW DR,SW61,SW,61,160528.03,1649554.4
46594,235,Over 200$,5/16/2011,23:50,D110067425A, 01200 S BELMONT AV,SW21,SW,21,179023.45,1640432.24
46595,235,Over 200$,5/17/2011,10:00,D110067930A, 04706 WINTHROP AV,ND53,ND,53,194827.27,1672963.77
46596,235,Over 200$,5/20/2011,21:50,D110069725A, E WASHINGTON ST & S SHERMAN DR,NE51,NE,51,205671.68,1646920.95
46597,235,Over 200$,5/21/2011,21:00,D110070582A, 04045 S RYBOLT AV,SW72,SW,72,169305.93,1623486.8
46598,235,Over 200$,5/23/2011,23:00,D110071480A, 00725 E ST CLAIR ST,DT22,DT,22,193664.23,1650045.98
46599,235,Over 200$,5/24/2011,11:00,D110071615A, 00320 N MERIDIAN ST,DT13,DT,13,189984.17,1647985
46600,235,Over 200$,5/24/2011,19:45,D110071908A, 00701 LANSDOWNE RD,SW81,SW,81,145588.51,1649653.94
46601,235,Over 200$,5/26/2011,20:00,D110073458A, 00228 N EAST ST,DT31,DT,31,192512.08,1647474.41
46602,235,Over 200$,5/27/2011,15:00,D110073883A, 00350 W WASHINGTON ST,DT13,DT,13,188158.87,1646313.04
46603,235,Over 200$,5/28/2011,12:00,D110078059A, 01929 DUNBARTON CT E,ND73,ND,73,180122.75,1694182.39
46604,235,Over 200$,5/28/2011,20:10,D110074054A, 00555 FAIRFIELD AV,ND13,ND,13,192900.27,1664862.4
46605,235,Over 200$,5/29/2011,21:00,D110074563A, 05902 N COLLEGE AV,ND52,ND,52,193511.28,1680891.67
46606,235,Over 200$,5/31/2011,23:47,D110075617A, 01341 FLETCHER AV,SE11,SE,11,195983.77,1642824.43
46607,235,Over 200$,6/3/2011,0:01,D110082626A, 01309 SANDY ANN LN,ND51,ND,51,195966.1,1676286.26
46608,235,Over 200$,6/4/2011,7:35,D110077453A, 01617 WADE ST,SE24,SE,24,197178.38,1634530.89
46609,235,Over 200$,6/4/2011,14:30,D110077700A, W NEW YORK ST & N WEST ST,DT11,DT,11,187462.53,1647854.94
46610,235,Over 200$,6/6/2011,8:09,D110078383A, 02201 E 10TH ST,NE23,NE,23,199617.54,1651345.19
46611,235,Over 200$,6/8/2011,9:00,D110085435A, 04914 CAROLINE ST,ND51,ND,51,199243.27,1673885.46
46612,235,Over 200$,6/8/2011,13:00,D110079970A, 04725 BROOKVILLE RD,SE13,SE,13,209306.06,1644768.18
46613,235,Over 200$,6/8/2011,22:45,D110080048A, 04410 PATRICIA ST,NW24,NW,24,168373.41,1662079.04
46614,235,Over 200$,6/10/2011,6:30,D110084173A, 00100 S CAPITOL AV,DT32,DT,32,188882.74,1645735.69
46615,235,Over 200$,6/11/2011,23:30,D110081871A, 00117 E 40TH ST,ND43,ND,43,191129.7,1668587.21
46616,235,Over 200$,6/12/2011,12:30,D110082304A, 00700 MASSACHUSETTS AV,DT22,DT,22,193055.74,1649631.81
46617,235,Over 200$,6/12/2011,15:45,D110081941A, 04850 CENTRAL AV,ND53,ND,53,192356.3,1673585.71
46618,235,Over 200$,6/12/2011,19:30,D110082022A, 04445 E 10TH ST,NE51,NE,51,208146.31,1651356.25
46619,235,Over 200$,6/15/2011,11:45,D110083552A, 00520 E MARKET ST,DT31,DT,31,192695.93,1646692.36
46620,235,Over 200$,6/16/2011,17:30,D110084862A, N PENNSYLVANIA ST & E OHIO ST,DT31,DT,31,190486.2,1647243.45
46621,235,Over 200$,6/16/2011,17:48,D110084281A, 00401 E MICHIGAN ST,DT21,DT,21,192073.71,1648699.29
46622,235,Over 200$,6/16/2011,23:00,D110084913A, 07242 W GREEN SPRINGS RD,SW81,SW,81,153341.53,1647432.54
46623,235,Over 200$,6/17/2011,13:30,D110084860A, 03965 DUNLAP DR,SW72,SW,72,165554.38,1624304.2
46624,235,Over 200$,6/17/2011,15:00,D110087280A, 02621 N DENNY ST,NE14,NE,14,206113.72,1660087.32
