OBJECTID,UCR,CRIME,DATE_,TIME,CASE,ADDRESS,BEAT,DIST,AT,,X_COORD,Y_COORD
55050,245,50$ to 200$,1/27/2008,10:00,080014568I,00500 S DEARBORN ST,SE12,SE,12,,203293.47,1643551.64
55051,245,50$ to 200$,1/28/2008,1:00,080014959I,01540 NELSON AV,SE24,SE,24,,196745.76,1632160.25
55052,245,50$ to 200$,2/5/2008,0:15,080019256I,00100 W SOUTH ST,DT32,DT,32,,189360.4,1644215.44
55053,245,50$ to 200$,2/8/2008,0:01,080021437I,01115 NELSON AV,SE22,SE,22,,195258.16,1632118.12
55054,245,50$ to 200$,2/8/2008,5:00,080021834I,00315 KOEHNE ST,SW13,SW,13,,181218.1,1647990.87
55055,245,50$ to 200$,2/10/2008,17:00,080022616I,04620 HINESLEY AV,ND42,ND,42,,187722.02,1672747.64
55056,245,50$ to 200$,2/13/2008,7:00,080023884I,02861 COLLIER ST,SW64,SW,64,,169355.56,1630344.05
55057,245,50$ to 200$,3/2/2008,0:01,080033483I,07732 WYCKFORD CT,SW81,SW,81,,150599.4,1649713.59
55058,245,50$ to 200$,3/8/2008,16:40,080036534I,06052 E WASHINGTON ST,NE65,NE,65,,216857.88,1647616.71
55059,245,50$ to 200$,3/10/2008,12:28,080037370I,00619 N GRAY ST,NE24,NE,24,,202984.59,1649589.71
55060,245,50$ to 200$,3/11/2008,19:25,080000224C,11866 CALZIA LN,NE63,NE,63,,247510.91,1651510.42
55061,245,50$ to 200$,3/14/2008,14:59,080040033I,05009 WILDFLOWER CT,NW61,NW,61,,165525.13,1679770.28
55062,245,50$ to 200$,3/16/2008,17:00,080041120I,07400 W 10TH ST,NW73,NW,73,,152682.75,1650893.57
55063,245,50$ to 200$,3/19/2008,16:30,080042805I,01033 E WASHINGTON ST,SE11,SE,11,,194930.78,1646134.93
55064,245,50$ to 200$,3/20/2008,19:27,080043529I,08902 E 38TH ST,NE71,NE,71,,231144.31,1667532.39
55065,245,50$ to 200$,3/24/2008,20:30,080045714I,01615 MOORES CT,NE63,NE,63,,244225.33,1654379.18
55066,245,50$ to 200$,3/30/2008,15:15,080048885I,01601 S EAST ST,SE21,SE,21,,192345.25,1638391.89
55067,245,50$ to 200$,3/30/2008,19:25,080048951I,04619 STRATFORD AV,SE13,SE,13,,208562.73,1644565.78
55068,245,50$ to 200$,4/2/2008,18:28,080050656I,08513 CHRISTIANA LN,ND63,ND,63,,226343.09,1698659.04
55069,245,50$ to 200$,4/3/2008,12:00,080051078I,00521 E MORRIS ST,SE21,SE,21,,192392.85,1640493.13
55070,245,50$ to 200$,4/6/2008,6:00,080055608I,00626 N HAMILTON AV,NE23,NE,23,,199269.89,1649383.8
55071,245,50$ to 200$,4/7/2008,15:00,080053320I,02630 E STOP 11 RD,SE54,SE,54,,201044.75,1603644.44
55072,245,50$ to 200$,4/7/2008,20:00,080053436I,01931 W 65TH ST,ND74,ND,74,,179788.94,1685712.6
55073,245,50$ to 200$,4/14/2008,17:30,080057250I,06250 RODEBAUGH RD,NW82,NW,82,,172163.52,1683393.78
55074,245,50$ to 200$,4/18/2008,0:01,080059604I,01606 E PALMER ST,SE23,SE,23,,197107.33,1638634.55
55075,245,50$ to 200$,4/22/2008,0:01,080061586I,01518 SHEPARD ST,SW22,SW,22,,180022.65,1638330.37
55076,245,50$ to 200$,4/22/2008,8:00,080061935I,04071 MOLINE DR,SW72,SW,72,,169054.74,1626211.22
55077,245,50$ to 200$,4/23/2008,12:00,080064170I,03832 ALODA ST,SE14,SE,14,,205815.07,1639277.11
55078,245,50$ to 200$,4/24/2008,6:30,080063318I,08870 S KEYSTONE AV,SE53,SE,53,,200063.8,1598954.27
55079,245,50$ to 200$,4/26/2008,12:00,080065071I,01426 LANCASHIRE CT,ND71,ND,71,,182655.2,1698405.76
55080,245,50$ to 200$,4/26/2008,12:00,080065172I,05694 N PENNSYLVANIA ST,ND53,ND,53,,191011.06,1678946.68
55081,245,50$ to 200$,4/26/2008,16:40,080064318I,00309 S BUTLER AV,NE54,NE,54,,212094.73,1645494.23
55082,245,50$ to 200$,4/26/2008,18:00,080064380I,02442 N ARLINGTON AV,NE32,NE,32,,216281.09,1658913.57
55083,245,50$ to 200$,4/26/2008,22:00,080065808I,02900 N SHERMAN DR,NE14,NE,14,,205610.28,1661357.25
55084,245,50$ to 200$,4/30/2008,10:29,080066455I,00125 S PENNSYLVANIA ST,DT32,DT,32,,190443.79,1645414.76
55085,245,50$ to 200$,5/1/2008,11:22,080067052I,02001 N TALBOTT ST,NE11,NE,11,,190893.71,1655987.68
55086,245,50$ to 200$,5/1/2008,21:00,080068366I,06834 DUNN WY,SW82,SW,82,,155743.9,1639686.26
55087,245,50$ to 200$,5/2/2008,8:00,080068371I,00028 N DEARBORN ST,NE24,NE,24,,203265.76,1646879.33
55088,245,50$ to 200$,5/3/2008,18:00,080068745I,00727 LINCOLN ST,SE21,SE,21,,193065.53,1638380.89
55089,245,50$ to 200$,5/5/2008,0:01,080069845I,00800 N MERIDIAN ST,DT12,DT,12,,190062.51,1650208.63
55090,245,50$ to 200$,5/5/2008,12:00,080077776I,04135 N RILEY AV,ND33,ND,33,,210282.89,1669688.77
55091,245,50$ to 200$,5/5/2008,14:00,080069324I,04444 WINTHROP AV,ND43,ND,43,,194832.38,1671633.85
55092,245,50$ to 200$,5/5/2008,23:00,080069969I,00460 N PENNSYLVANIA ST,DT21,DT,21,,190513.36,1648570.95
55093,245,50$ to 200$,5/10/2008,16:00,080072251I,03071 BALTIMORE AV,ND23,ND,23,,199091.51,1662584.23
55094,245,50$ to 200$,5/11/2008,15:30,080072683I,00525 N GOODLET AV,SW11,SW,11,,174765.91,1649153.47
55095,245,50$ to 200$,5/14/2008,18:30,080074703I,00500 N BELMONT AV,SW12,SW,12,,179020.67,1649087.59
55096,245,50$ to 200$,5/15/2008,12:30,080075130I,06253 N COLLEGE AV,ND52,ND,52,,193528.79,1683318.32
55097,245,50$ to 200$,5/15/2008,22:00,080075874I,04620 ROUND LAKE RD,ND64,ND,64,,201284.81,1673143.62
55098,245,50$ to 200$,5/16/2008,23:30,080076039I,00638 NORTHFIELD CT,SE51,SE,51,,193311.59,1620692.95
55099,245,50$ to 200$,5/18/2008,12:00,080076900I,07701 KNUE RD,ND62,ND,62,,217860.16,1692197.91
55100,245,50$ to 200$,5/21/2008,11:00,080078969I,00822 N ILLINOIS ST,DT12,DT,12,,189553.01,1650442.07
55101,245,50$ to 200$,5/22/2008,1:00,080079259I,07062 MADISON AV,SE53,SE,53,,198543.74,1608629.51
55102,245,50$ to 200$,5/23/2008,19:20,080079996I,04401 E 10TH ST,NE51,NE,51,,207812.67,1651354.74
55103,245,50$ to 200$,5/24/2008,15:00,080081088I,05507 SOMERS DR,SE43,SE,43,,213918.54,1616630.22
55104,245,50$ to 200$,5/26/2008,21:00,080081664I,07204 HATTERAS LN,NW72,NW,72,,154064.67,1666497.24
55105,245,50$ to 200$,5/26/2008,21:40,080081509I,03001 N COLLEGE AV,ND11,ND,11,,193743.35,1661973.37
55106,245,50$ to 200$,5/28/2008,16:55,080082705I,01202 LINDEN ST,SE11,SE,11,,195849.42,1640361.31
55107,245,50$ to 200$,5/29/2008,15:00,080083445I,06315 SANDYSIDE DR,NW82,NW,82,,166135.36,1683918.16
55108,245,50$ to 200$,5/29/2008,19:15,080083438I,10115 CHRIS DR,NE63,NE,63,,237846.24,1657536.71
55109,245,50$ to 200$,5/30/2008,16:30,080084028I,02400 SHELBY ST,SE22,SE,22,,195028.12,1634192.66
55110,245,50$ to 200$,5/31/2008,0:01,080088432I,08026 EGRET LN,ND73,ND,73,,179548.78,1695006.62
55111,245,50$ to 200$,6/1/2008,18:50,080084981I,01135 N CENTENNIAL ST,SW11,SW,11,,174390.82,1652031.68
55112,245,50$ to 200$,6/2/2008,14:00,080085500I,03500 BROOKSIDE PW SDR,NE31,NE,31,,204340.16,1654068.62
55113,245,50$ to 200$,6/4/2008,13:30,080086678I,02450 SHELBY ST,SE22,SE,22,,195031.26,1633719.02
55114,245,50$ to 200$,6/4/2008,15:00,080086751I,02312 WOODLAWN AV,SE12,SE,12,,199741.12,1641525.49
55115,245,50$ to 200$,6/4/2008,18:01,080086710I,04035 N TACOMA AV,ND21,ND,21,,200675.22,1668782.85
55116,245,50$ to 200$,6/5/2008,9:00,080099677I,03461 LINDEN ST,SE32,SE,32,,195759.42,1627695.91
55117,245,50$ to 200$,6/5/2008,15:00,080087367I,04801 BROOKVILLE RD,SE13,SE,13,,209699.86,1644652.07
55118,245,50$ to 200$,6/6/2008,0:01,080089192I,06063 WILLIAMSBURG CT,ND32,ND,32,,216691.48,1671549.05
55119,245,50$ to 200$,6/6/2008,2:15,080087600I,01406 E BRADBURY AV,SE24,SE,24,,196153.84,1634221.49
55120,245,50$ to 200$,6/6/2008,10:00,080087923I,02425 N CENTENNIAL ST,NW21,NW,21,,174188.15,1658660.48
55121,245,50$ to 200$,6/8/2008,12:00,080088823I,05542 FLOATING LEAF DR,SE43,SE,43,,220813.77,1617024.4
55122,245,50$ to 200$,6/8/2008,16:20,080088858I,01328 E SUMNER AV,SE32,SE,32,,196089.46,1627483.37
55123,245,50$ to 200$,6/9/2008,0:01,080089877I,07210 VEGA WY,SW71,SW,71,,153497.78,1616866.39
55124,245,50$ to 200$,6/10/2008,10:42,080089827I,05529 LAUREL ST,SE51,SE,51,,195844.62,1616670.11
55125,245,50$ to 200$,6/10/2008,14:02,080089905I,04067 DESMOND AV,ND32,ND,32,,220585.88,1669262.41
55126,245,50$ to 200$,6/11/2008,0:01,080091250I,00006 N TRAUB AV,SW13,SW,13,,179395.79,1646055.1
55127,245,50$ to 200$,6/11/2008,1:55,080090543I,00200 E WASHINGTON ST,DT31,DT,31,,190972.13,1646215.52
55128,245,50$ to 200$,6/11/2008,13:00,080090651I,00040 E ST CLAIR ST,DT21,DT,21,,190287.76,1650220.17
55129,245,50$ to 200$,6/11/2008,17:21,080090655I,LEXINGTON AV & S RANDOLPH ST,SE12,SE,12,,198286.82,1642187.77
55130,245,50$ to 200$,6/12/2008,12:30,080091094I,05230 E 34TH ST,ND33,ND,33,,211592.77,1664824.06
55131,245,50$ to 200$,6/12/2008,21:54,080000498C,00308 WOODLARK DR,NE63,NE,63,,244828.31,1649734.99
55132,245,50$ to 200$,6/13/2008,7:00,080092171I,00144 N ARSENAL AV,NE22,NE,22,,196857.98,1646933.44
55133,245,50$ to 200$,6/13/2008,16:00,080091821I,01622 LONGACRE TE,SE51,SE,51,,197524.23,1621371.44
55134,245,50$ to 200$,6/13/2008,19:00,080092164I,06217 GLEN FLINT CT,NW31,NW,31,,158882.62,1675309.13
55135,245,50$ to 200$,6/13/2008,19:00,080091934I,01122 N OAKLAND AV,NE21,NE,21,,202792.04,1651902.16
55136,245,50$ to 200$,6/14/2008,17:15,080092388I,01710 E OHIO ST,NE22,NE,22,,197703.36,1646876.85
55137,245,50$ to 200$,6/16/2008,8:45,080093485I,05763 N NEW JERSEY ST,ND53,ND,53,,192029.62,1679760.65
55138,245,50$ to 200$,6/16/2008,11:51,080093251I,01707 N DEQUINCY ST,NE31,NE,31,,209687.73,1654474.32
55139,245,50$ to 200$,6/16/2008,20:00,080093998I,02021 W OHIO ST,SW13,SW,13,,179236.82,1646822.98
55140,245,50$ to 200$,6/17/2008,1:00,080093985I,E THOMPSON RD & S STATE AV,SE51,SE,51,,197771.5,1619431.24
55141,245,50$ to 200$,6/17/2008,11:00,080093947I,03532 WINTHROP AV,ND13,ND,13,,194845.89,1665549.51
55142,245,50$ to 200$,6/17/2008,14:30,080094055I,02025 OVERLOOK CT,NE63,NE,63,,238077.02,1656655.67
55143,245,50$ to 200$,6/17/2008,23:50,080000509C,11531 E WASHINGTON ST,NE63,NE,63,,245416.78,1649326.08
55144,245,50$ to 200$,6/18/2008,13:24,080094619I,01822 ORANGE ST,SE12,SE,12,,197896.01,1639904.35
55145,245,50$ to 200$,6/18/2008,13:30,080094646I,04924 E 10TH ST,NE53,NE,53,,209914.68,1651401.37
55146,245,50$ to 200$,6/18/2008,13:30,080094663I,03130 DANUBE WY,SE41,SE,41,,225122.05,1630075.63
55147,245,50$ to 200$,6/18/2008,14:45,080094684J,08762 FIVE POINTS RD,SE44,SE,44,,221616.94,1600020.59
55148,245,50$ to 200$,6/18/2008,17:00,080095032I,00134 N ELDER AV,SW13,SW,13,,179801.8,1646690.37
55149,245,50$ to 200$,6/19/2008,10:52,080095136I,00314 S WALCOTT ST,SE12,SE,12,,197941.97,1644318.41
55150,245,50$ to 200$,6/23/2008,22:00,080000523C,00024 S MUNSIE ST,NE63,NE,63,,246111.6,1649313.08
55151,245,50$ to 200$,6/24/2008,13:00,080098104I,07898 HAGUE RD,ND63,ND,63,,225275.93,1693863.29
55152,245,50$ to 200$,6/24/2008,14:26,080098175I,00747 CHAPEL HILL WDR,SW81,SW,81,,154191.96,1649883.49
55153,245,50$ to 200$,6/24/2008,14:27,080098133I,00006 S DEARBORN ST,SE12,SE,12,,203278.99,1646739.52
55154,245,50$ to 200$,6/24/2008,15:30,080098285I,00001 W 26TH ST,ND11,ND,11,,190445.35,1659679.8
55155,245,50$ to 200$,6/24/2008,17:40,080098244I,08444 LA HABRA LN,ND63,ND,63,,245021.55,1697838.36
55156,245,50$ to 200$,6/25/2008,0:01,080103021I,00015 W WASHINGTON ST,DT32,DT,32,,189783.91,1646213.24
55157,245,50$ to 200$,6/25/2008,10:30,080099328I,00924 BROAD RIPPLE AV,ND52,ND,52,,194480.88,1683618.07
55158,245,50$ to 200$,6/26/2008,1:00,080099457I,01226 LEE ST,SW22,SW,22,,180344.76,1640287.31
55159,245,50$ to 200$,6/27/2008,16:30,080100167I,00040 E ST CLAIR ST,DT21,DT,21,,190287.76,1650220.17
55160,245,50$ to 200$,6/30/2008,15:15,080101682I,03644 TORONTO CT,NW82,NW,82,,171894.55,1697031.97
55161,245,50$ to 200$,7/1/2008,17:45,080102409I,01216 KAPPES ST,SW22,SW,22,,179686.58,1640338.15
55162,245,50$ to 200$,7/2/2008,8:00,080103005I,03134 WATERGATE WY,NW33,NW,33,,164047.42,1662744.53
55163,245,50$ to 200$,7/3/2008,22:45,080106067I,01341 LANDSBROOK DR,ND74,ND,74,,183154.84,1686262.01
55164,245,50$ to 200$,7/5/2008,0:30,080104615I,02130 EMERSON KNOLL PL,NE31,NE,31,,210765.61,1656964.81
55165,245,50$ to 200$,7/7/2008,17:45,080105657I,01115 N ARLINGTON AV,NE65,NE,65,,216392.09,1652032.74
55166,245,50$ to 200$,7/7/2008,21:00,080106382I,00523 E MINNESOTA ST,SE21,SE,21,,192437.24,1638071.03
55167,245,50$ to 200$,7/8/2008,9:30,080106025I,04163 SHADY OAK DR,NE73,NE,73,,237938.63,1670082.45
55168,245,50$ to 200$,7/8/2008,10:00,080106262I,04105 DESMOND AV,ND32,ND,32,,220585,1669500.17
55169,245,50$ to 200$,7/9/2008,21:38,080107034I,02424 N COLLEGE AV,NE11,NE,11,,193735.15,1658828.64
55170,245,50$ to 200$,7/10/2008,12:00,080107734I,00200 S CAPITOL AV,DT32,DT,32,,188867.26,1645222.11
55171,245,50$ to 200$,7/10/2008,14:15,080107584I,08625 GUILFORD AVE,ND72,ND,72,,194728.25,1699372.4
55172,245,50$ to 200$,7/11/2008,18:09,080108122I,00933 HUDSON ST,DT21,DT,21,,191405.66,1651033.36
55173,245,50$ to 200$,7/12/2008,18:48,080108655I,06101 N KEYSTONE AV,ND52,ND,52,,200227.87,1682411.87
55174,245,50$ to 200$,7/13/2008,11:00,080109596I,03929 GRACELAND AV,ND42,ND,42,,188757.92,1668034.24
55175,245,50$ to 200$,7/13/2008,22:26,080109230I,08125 STATES BEND DR,SE41,SE,41,,227928.19,1628803.57
55176,245,50$ to 200$,7/14/2008,0:01,080109702I,03102 S TACOMA AV,SE32,SE,32,,200683.55,1629480.52
55177,245,50$ to 200$,7/14/2008,0:01,080118899I,00050 N ILLINOIS ST,DT13,DT,13,,189424.63,1646603.62
55178,245,50$ to 200$,7/15/2008,10:12,080110156I,02234 BROAD RIPPLE AV,ND52,ND,52,,199645.88,1683207.06
55179,245,50$ to 200$,7/15/2008,12:00,080110238I,03938 N DREXEL AV,ND21,ND,21,,208458.91,1668432.92
55180,245,50$ to 200$,7/15/2008,12:00,080110446I,01817 WINFIELD AV,NW21,NW,21,,176152.08,1654859.07
55181,245,50$ to 200$,7/15/2008,16:15,080110438I,02121 W MICHIGAN ST,SW13,SW,13,,178956.1,1649051.51
55182,245,50$ to 200$,7/15/2008,18:00,080110527I,00040 E ST CLAIR ST,DT21,DT,21,,190287.76,1650220.17
55183,245,50$ to 200$,7/16/2008,13:28,080110918I,03819 IRELAND DR,NE72,NE,72,,233585.05,1667815.32
55184,245,50$ to 200$,7/16/2008,17:15,080111071I,04401 E 10TH ST,NE51,NE,51,,207812.67,1651354.74
55185,245,50$ to 200$,7/17/2008,1:00,080111260I,00101 W MARYLAND ST,DT32,DT,32,,189405.13,1645704.76
55186,245,50$ to 200$,7/17/2008,11:00,080111459I,02415 SHELBY ST,SE22,SE,22,,195070.37,1634085.96
55187,245,50$ to 200$,7/17/2008,13:05,080111524I,02800 E 11TH ST,NE21,NE,21,,201685,1651810.18
55188,245,50$ to 200$,7/17/2008,15:20,080111614I,10510 FOLSOM DR,NE73,NE,73,,239710.12,1663772.26
55189,245,50$ to 200$,7/17/2008,21:46,080111787I,05110 E 38TH ST,ND33,ND,33,,210993.67,1667429.88
55190,245,50$ to 200$,7/19/2008,8:30,080112692I,04350 N PARK AV,ND43,ND,43,,192788.1,1671016.63
55191,245,50$ to 200$,7/19/2008,10:30,080112828I,00025 E 9TH ST,DT21,DT,21,,190370.34,1650618.33
55192,245,50$ to 200$,7/19/2008,22:06,080112974I,00415 N RILEY AV,NE53,NE,53,,210246.01,1648563.03
55193,245,50$ to 200$,7/20/2008,21:15,080113586I,08926 MARIO CREEK DR,NW73,NW,73,,144545.05,1659703.72
55194,245,50$ to 200$,7/21/2008,0:01,080113864I,08830 BURWICK DR,ND63,ND,63,,230467.63,1703427.29
55195,245,50$ to 200$,7/21/2008,20:26,080114137I,E ARCH ST & BROADWAY ST,DT22,DT,22,,193230.68,1650283.87
55196,245,50$ to 200$,7/21/2008,22:00,080114507I,05879 IVY KNOLL CT,ND62,ND,62,,215440.76,1695703.76
55197,245,50$ to 200$,7/22/2008,17:30,080114701I,00459 S GRAND AV,NE54,NE,54,,211486.56,1644162.86
55198,245,50$ to 200$,7/22/2008,18:30,080114717I,00715 S DREXEL AV,SE13,SE,13,,208729.23,1642856.35
55199,245,50$ to 200$,7/23/2008,1:00,080115234I,07538 STOCKARD ST,SE41,SE,41,,224663.07,1637864.21
55200,245,50$ to 200$,7/23/2008,9:30,080115614I,00960 N PENNSYLVANIA ST,DT21,DT,21,,190604.31,1651175.84
55201,245,50$ to 200$,7/23/2008,10:00,080115349I,00050 W FALL CREEK PW NDR,NW12,NW,12,,190111.42,1659493.48
55202,245,50$ to 200$,7/23/2008,12:00,080115943I,00819 S RANDOLPH ST,SE12,SE,12,,198314.58,1642116.6
55203,245,50$ to 200$,7/23/2008,12:22,080115199I,02603 E 10TH ST,NE23,NE,23,,201112.16,1651345.02
55204,245,50$ to 200$,7/23/2008,15:22,080115316I,08110 SIEAR DR,SE54,SE,54,,201343.36,1603241.28
55205,245,50$ to 200$,7/23/2008,21:05,080115540I,03215 SHARON AV,NW22,NW,22,,175880.21,1662928.73
55206,245,50$ to 200$,7/24/2008,0:01,080116538I,00911 BROKEN BOW TR,SW81,SW,81,,150108.06,1650298.67
55207,245,50$ to 200$,7/24/2008,18:02,080116143I,01440 E 86TH ST,ND72,ND,72,,196674.78,1699181.96
55208,245,50$ to 200$,7/24/2008,20:00,080117247I,01024 E 91ST ST,ND72,ND,72,,195077.44,1701848.36
55209,245,50$ to 200$,7/25/2008,0:01,080116638I,01421 CENTRAL AV,NE11,NE,11,,192430.51,1653085.41
55210,245,50$ to 200$,7/26/2008,16:00,080117840I,07720 CHRIS ANNE CR,SE44,SE,44,,217327.9,1605802.47
55211,245,50$ to 200$,7/27/2008,0:01,080118141I,00410 N TEMPLE AV,NE23,NE,23,,200983.28,1648421.67
55212,245,50$ to 200$,7/27/2008,0:01,080117960I,07840 W 10TH ST,NW73,NW,73,,150125.34,1650863.54
55213,245,50$ to 200$,7/27/2008,0:01,080117807I,03232 CARICA DR,SE41,SE,41,,217552.66,1629361.51
55214,245,50$ to 200$,7/28/2008,13:04,080118302I,00056 S MOUNT ST,SW13,SW,13,,177658.67,1645438.79
55215,245,50$ to 200$,7/28/2008,21:00,080119237I,02801 E NEW YORK ST,NE24,NE,24,,201664.6,1647881.57
55216,245,50$ to 200$,7/28/2008,22:00,080118897I,04560 N PARK AV,ND43,ND,43,,192781.47,1672353.33
55217,245,50$ to 200$,7/29/2008,16:00,080119042I,01843 S DREXEL AV,SE14,SE,14,,208668,1637454.57
55218,245,50$ to 200$,7/30/2008,14:00,080119846I,07840 W 56TH ST,NW71,NW,71,,150314.53,1677659.47
55219,245,50$ to 200$,7/30/2008,15:00,080119869I,02602 FOLTZ ST,SW64,SW,64,,169636.08,1632040.62
55220,245,50$ to 200$,7/31/2008,16:00,080120404I,05301 TURTLE CREEK S DR,SE51,SE,51,,193001.88,1617736.23
55221,245,50$ to 200$,8/1/2008,15:00,080124541I,00110 E 16TH ST,NE11,NE,11,,190712.22,1654021.59
55222,245,50$ to 200$,8/1/2008,17:35,080121055I,00401 E MICHIGAN ST,DT21,DT,21,,192073.71,1648699.29
55223,245,50$ to 200$,8/1/2008,18:10,080129398I,03918 E 28TH ST,NE14,NE,14,,206177.94,1660656.26
55224,245,50$ to 200$,8/2/2008,16:00,080134108I,00922 N BANCROFT ST,NE53,NE,53,,210595.23,1651022.67
55225,245,50$ to 200$,8/3/2008,0:01,080122596I,02859 S LYONS AV,SW64,SW,64,,168680.5,1630356.75
55226,245,50$ to 200$,8/3/2008,18:16,080122169I,00115 S HIGH SCHOOL RD,SW81,SW,81,,158531.89,1644959.65
55227,245,50$ to 200$,8/4/2008,20:00,080122824I,01617 E SOUTHERN AV,SE24,SE,24,,197365.44,1632796.71
55228,245,50$ to 200$,8/5/2008,4:50,080123085I,00350 S ILLINOIS ST,DT32,DT,32,,189351.99,1644459.72
55229,245,50$ to 200$,8/5/2008,21:30,080124698I,06819 CEDAR BLUFF DR,SW81,SW,81,,155215.12,1646854.99
55230,245,50$ to 200$,8/6/2008,0:01,080123957I,05113 S KEYSTONE AV,SE52,SE,52,,200380.25,1618574.12
55231,245,50$ to 200$,8/8/2008,16:00,080126880I,05640 N ILLINOIS ST,ND53,ND,53,,189696.2,1678556.94
55232,245,50$ to 200$,8/9/2008,8:00,080126355I,00401 N PARK AV,DT22,DT,22,,193065.66,1648331.82
55233,245,50$ to 200$,8/9/2008,21:30,080126025I,03029 JACKSON ST,SW13,SW,13,,175409.17,1645099.75
55234,245,50$ to 200$,8/10/2008,15:00,080126338I,01215 TAYLOR DR E,NE65,NE,65,,217627.18,1652551.99
55235,245,50$ to 200$,8/10/2008,15:58,080126337I,05060 E 38TH ST,ND33,ND,33,,210786.04,1667430.91
55236,245,50$ to 200$,8/12/2008,12:35,080127381I,E MICHIGAN ST & N OAKLAND AV,NE24,NE,24,,202611.11,1648872.76
55237,245,50$ to 200$,8/12/2008,13:00,080127385I,00844 S MOUNT ST,SW21,SW,21,,177648.16,1641963.18
55238,245,50$ to 200$,8/12/2008,14:30,080127436I,06101 N KEYSTONE AV,ND52,ND,52,,200227.87,1682411.87
55239,245,50$ to 200$,8/13/2008,19:00,080128468I,03825 E 10TH ST,NE51,NE,51,,205873.5,1651348.04
55240,245,50$ to 200$,8/13/2008,23:33,080128338I,00218 WISCONSIN ST,SW23,SW,23,,188542.19,1639919.73
55241,245,50$ to 200$,8/15/2008,21:25,080129493I,03221 W 86TH ST,ND73,ND,73,,173933.36,1699007.77
55242,245,50$ to 200$,8/17/2008,14:10,080130267I,00521 S SHERMAN DR,SE13,SE,13,,205711.27,1643503.87
55243,245,50$ to 200$,8/17/2008,15:58,080130294I,06057 ALLENDALE DR,NW32,NW,32,,159743.67,1665628.11
55244,245,50$ to 200$,8/18/2008,12:10,080130738I,05930 CRESTVIEW AV,ND52,ND,52,,195849.46,1681052.43
55245,245,50$ to 200$,8/18/2008,21:00,080131106I,03180 CHRYSLER ST,NW33,NW,33,,166247.78,1663045.07
55246,245,50$ to 200$,8/18/2008,23:00,080131587I,08440 ADAMS MILLS PL,SW71,SW,71,,146788.78,1598987.06
55247,245,50$ to 200$,8/19/2008,13:43,080131425I,05103 E 16TH ST,NE53,NE,53,,211040.09,1654041.46
55248,245,50$ to 200$,8/19/2008,18:30,080131627I,05173 W WASHINGTON ST,SW62,SW,62,,164812.43,1641489.97
55249,245,50$ to 200$,8/19/2008,20:43,080000681C,00912 WARING DR E,NE63,NE,63,,246086.05,1651330.74
55250,245,50$ to 200$,8/20/2008,13:54,080132100I,01321 N MERIDIAN ST,NE11,NE,11,,190187.42,1652606.68
55251,245,50$ to 200$,8/21/2008,17:00,080132875I,05550 S FRANKLIN RD,SE43,SE,43,,229096.24,1617180.88
55252,245,50$ to 200$,8/21/2008,18:55,080132932I,05013 S DEARBORN ST,SE52,SE,52,,203520.58,1619438.93
55253,245,50$ to 200$,8/22/2008,0:01,080133461I,00237 N ADDISON ST,SW13,SW,13,,177022.84,1646964.95
55254,245,50$ to 200$,8/22/2008,15:00,080000689C,11816 E WASHINGTON ST,NE63,NE,63,,246480.04,1649421.2
55255,245,50$ to 200$,8/22/2008,18:00,080133904I,02356 N ARSENAL AV,NE13,NE,13,,196663.9,1658404.51
55256,245,50$ to 200$,8/23/2008,11:51,080134248I,02025 W NEW YORK ST,SW13,SW,13,,179284.37,1648031.81
55257,245,50$ to 200$,8/25/2008,1:00,080134898I,02256 HANOVER DR,SE51,SE,51,,199577.38,1619901.71
55258,245,50$ to 200$,8/25/2008,1:00,080134881I,00247 S KENMORE RD,NE54,NE,54,,217869.83,1646005.37
55259,245,50$ to 200$,8/25/2008,10:06,080134945I,03602 E MICHIGAN ST,NE51,NE,51,,204762.55,1648931.36
55260,245,50$ to 200$,8/26/2008,11:23,080135646I,00373 N HOLMES AV,SW13,SW,13,,176708.77,1648093.25
55261,245,50$ to 200$,8/26/2008,17:15,080135875I,01426 E 86TH ST,ND72,ND,72,,196586.4,1699182.43
55262,245,50$ to 200$,8/27/2008,3:00,080136495I,05212 LUZZANE LN,ND51,ND,51,,196453.09,1675598.76
55263,245,50$ to 200$,8/27/2008,15:00,080136456I,00110 E 16TH ST,NE11,NE,11,,190712.22,1654021.59
55264,245,50$ to 200$,8/28/2008,1:45,080136746I,03000 E 10TH ST,NE21,NE,21,,202286.48,1651385.41
55265,245,50$ to 200$,8/28/2008,12:00,080138703I,05216 LUZZANE LN,ND51,ND,51,,196452.35,1675625.33
55266,245,50$ to 200$,8/28/2008,20:00,080137592I,00459 S GRAND AV,NE54,NE,54,,211486.56,1644162.86
55267,245,50$ to 200$,8/29/2008,17:00,080137892I,04145 SHADY OAK DR,NE73,NE,73,,237956.93,1670002.24
55268,245,50$ to 200$,8/30/2008,1:30,080138408I,05205 S KEYSTONE AV,SE52,SE,52,,200377.09,1618187.77
55269,245,50$ to 200$,8/30/2008,22:30,080138727I,00344 LESLEY AV,NE54,NE,54,,214402.86,1648605.26
55270,245,50$ to 200$,8/31/2008,10:00,080138715I,03601 ROBSON ST,NE51,NE,51,,204815.26,1648609.5
55271,245,50$ to 200$,8/31/2008,17:15,080138910I,05151 S EAST ST,SE51,SE,51,,192420.6,1618472.36
