OBJECTID,UCR,CRIME,DATE_,TIME,CASE,ADDRESS,BEAT,DIST,AT,,X_COORD,Y_COORD
55357,245,50$ to 200$,11/18/2008,9:00,080183391I,00022 E CAVEN ST,SE21,SE,21,,189828.98,1637472.93
55358,245,50$ to 200$,11/18/2008,14:45,080183454I,02600 W MICHIGAN ST,SW12,SW,12,,177101.55,1649074.99
55359,245,50$ to 200$,11/24/2008,1:00,080186860I,01502 HOEFGEN ST,SE24,SE,24,,196527.44,1633493.72
55360,245,50$ to 200$,11/24/2008,12:00,080188403I,03153 DENNISTON ST,SW64,SW,64,,167360.93,1628559.12
55361,245,50$ to 200$,11/25/2008,17:50,080187165I,00249 N BELLEVIEW PL,SW13,SW,13,,177359.87,1647064.09
55362,245,50$ to 200$,11/26/2008,17:00,080187670I,04649 JOSEPH DR,SE51,SE,51,,197745.55,1620808.21
55363,245,50$ to 200$,11/27/2008,22:00,080188248I,02141 BRAEBURN E DR,NE62,NE,62,,228756.95,1657135.98
55364,245,50$ to 200$,11/30/2008,12:15,080189155I,00623 ARBOR AV,SW22,SW,22,,182629.59,1643105.96
55365,245,50$ to 200$,12/2/2008,9:18,080190107I,00059 N BOLTON AV,NE54,NE,54,,215660.09,1647953.7
55366,245,50$ to 200$,12/3/2008,20:30,080191015I,08630 SHADOW RIDGE LN,SE42,SE,42,,230366.38,1626115.8
55367,245,50$ to 200$,12/6/2008,22:57,080192462J,02706 FLEMING ST,SW64,SW,64,,167596.4,1631364.18
55368,245,50$ to 200$,12/31/2008,2:45,080203833I,02504 W WASHINGTON ST,SW13,SW,13,,177317.1,1645796.51
63474,255,Under 50$,1/6/2008,17:45,080003111I,00047 S DENNY ST,SE13,SE,13,,206368.09,1646479.95
63475,255,Under 50$,4/17/2008,15:30,080067315I,04705 PROSPECT ST,SE14,SE,14,,209531.97,1640911.74
63476,255,Under 50$,4/27/2008,18:30,080064844I,02716 SUTHERLAND AV,NE11,NE,11,,193504.87,1660225.66
63477,255,Under 50$,5/23/2008,16:45,080079916I,00938 N LASALLE ST,NE24,NE,24,,203529.35,1650937.3
63478,255,Under 50$,6/1/2008,17:30,080085005I,02716 E WASHINGTON ST,NE23,NE,23,,201387.94,1646634.02
