OBJECTID,UCR,CRIME,DATE_,TIME,CASE,ADDRESS,BEAT,DIST,AT,X_COORD,Y_COORD
31457,235,Over 200$,1/22/2008,12:00,D130080153A,107 KIRK DR W,SW80,SW,80,146162.47,1646074.2
31458,235,Over 200$,9/7/2012,0:01,D130042957A,947 E MORRIS ST,SE10,SE,10,194299.98,1640517.81
31459,235,Over 200$,1/7/2013,13:21,D130002637A,1308 CENTRAL AV,NE10,NE,10,192390.67,1652571.63
31460,235,Over 200$,1/14/2013,12:30,D130006140A,1204 CENTRAL AV,NE10,NE,10,192394.66,1652076.56
31461,235,Over 200$,1/16/2013,18:56,D130007059A,1209 S RANDOLPH ST,SE10,SE,10,198558.27,1640132.47
31462,235,Over 200$,1/21/2013,9:00,D130012324A,7637 SANTA BARBARA DR,NW60,NW,60,167541.65,1691874.74
31463,235,Over 200$,1/24/2013,13:15,D130010387A,E 10TH ST & N TUXEDO ST,NE20,NE,20,203958.7,1651364.1
31464,235,Over 200$,2/5/2013,8:22,D130015501A,37 W 38TH ST,ND10,ND,10,189911.52,1667123.51
31465,235,Over 200$,2/6/2013,0:01,D130015980A,611 N CAPITOL AV,DT10,DT,10,189125.62,1649511.37
31466,235,Over 200$,2/13/2013,11:30,D130021884A,7409 CAROLLING WAY,SE50,SE,50,206845.55,1606867.79
31467,235,Over 200$,2/13/2013,18:29,D130019516A,55 MONUMENT CR,DT20,DT,20,190231.37,1646645.59
31468,235,Over 200$,2/17/2013,19:00,D130021115A,1642 S TALBOTT ST,SE20,SE,20,190397.5,1638257.44
31469,235,Over 200$,2/20/2013,18:00,D130022420A,1728 E KELLY ST,SE20,SE,20,197882.18,1634891.88
31470,235,Over 200$,3/8/2013,12:00,D130031677A,1201 INDIANA AV,NW10,NW,10,184127.03,1652330.23
31471,235,Over 200$,3/25/2013,15:00,D130037704A,327 W SOUTHERN AV,SW50,SW,50,188015.14,1632601.12
31472,235,Over 200$,3/26/2013,0:01,D130037609A,1416 PLEASANT ST,SE10,SE,10,196344.88,1641867
31473,235,Over 200$,3/28/2013,17:00,D130038220A,3819 PEBBLE CREEK DR,NW60,NW,60,171243.8,1695180.98
31474,235,Over 200$,3/30/2013,99:99,D130039948A,5917 CARVEL AV,ND50,ND,50,195235.54,1681007.21
31475,235,Over 200$,4/4/2013,0:01,D130048745A,835 E 81ST ST,ND70,ND,70,194169.95,1696274.98
31476,235,Over 200$,4/7/2013,18:19,D130042682A,927 N PENNSYLVANIA ST,DT20,DT,20,190786.07,1650871.67
31477,235,Over 200$,4/8/2013,0:01,D130043011A,5267 OAK LEAF DR,ND50,ND,50,196716.33,1676050.6
31478,235,Over 200$,4/16/2013,13:00,D130047048A,427 N COLLEGE AV,DT20,DT,20,193533.19,1648377.64
31479,235,Over 200$,4/18/2013,7:30,D130053092B,1140 DR M L KING JR ST,NW10,NW,10,187068.35,1651915.02
31480,235,Over 200$,4/22/2013,21:21,D130050057A,7509 NEW AUGUSTA RD,NW60,NW,60,168213.32,1690691.55
31481,235,Over 200$,4/25/2013,8:30,D130052573A,450 S MERIDIAN ST,DT30,DT,30,189768.06,1643938.53
31482,235,Over 200$,4/30/2013,16:19,D130053770A,2403 N DELAWARE ST,NE10,NE,10,191418.72,1658660.18
31483,235,Over 200$,5/1/2013,21:30,D130055007A,846 N TUXEDO ST,NE20,NE,20,203850.26,1650432.21
31484,235,Over 200$,5/5/2013,12:00,D130056215A,6770 STANHOPE WAY,NW80,NW,80,156034.32,1674822.97
31485,235,Over 200$,5/7/2013,22:00,D130057368A,1 VIRGINIA AV,DT40,DT,40,190448.34,1646092.18
31486,235,Over 200$,5/8/2013,1:00,D130057625A,1327 SANDY ANN LN,ND50,ND,50,196019,1676296.49
31487,235,Over 200$,5/12/2013,16:45,D130059598A,924 BROAD RIPPLE AV,ND50,ND,50,194480.88,1683618.07
31488,235,Over 200$,5/13/2013,14:00,D130075628A,1749 S DELAWARE ST,SE20,SE,20,190768.02,1637522.85
31489,235,Over 200$,5/13/2013,19:30,D130060671A,4350 N COLLEGE AV,ND10,ND,10,193694.76,1670961.63
31490,235,Over 200$,5/15/2013,13:00,D130064693A,623 LOCKERBIE ST,DT20,DT,20,193269.84,1647847.82
31491,235,Over 200$,5/16/2013,12:00,D131362121A,5960 E 42ND ST,ND30,ND,30,216114.48,1670274.91
31492,235,Over 200$,5/16/2013,12:00,D130061569A,101 W OHIO ST,DT10,DT,10,189359.97,1647190.45
31493,235,Over 200$,5/17/2013,11:02,D130062012A,6101 N KEYSTONE AV,ND50,ND,50,200871.17,1682827.18
31494,235,Over 200$,5/17/2013,18:00,D130063412A,501 MADISON AV,DT40,DT,40,190031.28,1643707.15
31495,235,Over 200$,5/18/2013,15:00,D130062890A,9306 CHERRY VALLEY CT,NE70,NE,70,233117.84,1671741.09
31496,235,Over 200$,5/19/2013,12:00,D130064692A,5925 CARVEL AV,ND50,ND,50,195339.16,1681134.31
31497,235,Over 200$,5/20/2013,7:50,D130063604A,1099 N MERIDIAN ST,DT20,DT,20,190379.25,1651428.92
31498,235,Over 200$,5/21/2013,5:30,D130063773A,1701 SENATE BL,NW10,NW,10,187901.73,1654479.62
31499,235,Over 200$,5/23/2013,0:01,D130064828A,8027 MC FARLAND CT,SE50,SE,50,203158.68,1603469.91
31500,235,Over 200$,5/23/2013,9:00,D130064950A,1365 E 86TH ST,ND70,ND,70,196162.15,1699145.34
31501,235,Over 200$,5/23/2013,12:00,D130067745A,222 N EAST ST,DT20,DT,20,192510.77,1647452.7
31502,235,Over 200$,5/26/2013,18:00,D130074109A,4425 S EMERSON AV,SE40,SE,40,211092.14,1622568.4
31503,235,Over 200$,5/28/2013,23:00,D130068383A,225 N NEW JERSEY STREET,DT20,DT,20,192166.95,1647490.34
31504,235,Over 200$,5/29/2013,17:50,D130068092A,914 DORMAN ST,NE20,NE,20,195327.22,1650709.87
31505,235,Over 200$,5/30/2013,13:00,D130068721A,1022 DR M L KING JR ST,DT10,DT,10,187069.41,1651385.83
31506,235,Over 200$,5/30/2013,16:00,D130068709A,5820 W 56TH ST,NW80,NW,80,160489.7,1677707.52
31507,235,Over 200$,5/30/2013,23:20,D130068838A,200 W MARYLAND ST,DT30,DT,30,188898.75,1645759.34
31508,235,Over 200$,5/31/2013,2:00,D130069024A,611 N PARK AV,DT20,DT,20,193158.47,1649464.88
31509,235,Over 200$,6/2/2013,20:33,D130070203A,3757 E NEW YORK ST,NE20,NE,20,205521.77,1647860.65
31510,235,Over 200$,6/4/2013,13:40,D130071015A,1051 BROOKS ST,NW10,NW,10,185678.8,1651502.35
31511,235,Over 200$,6/6/2013,8:00,D130074151A,757 MASSACHUSETTS AV,DT20,DT,20,193399.82,1649871.98
31512,235,Over 200$,6/6/2013,20:00,D130072299A,4911 ROCKVILLE RD,SW60,SW,60,165819.69,1645533.6
31513,235,Over 200$,6/6/2013,22:00,D130073096A,4310 BLUFF RD,SW50,SW,50,185984.97,1622601.94
31514,235,Over 200$,6/8/2013,10:42,D130073056A,4100 N PENNSYLVANIA ST,ND10,ND,10,191055.02,1669261.58
31515,235,Over 200$,6/13/2013,15:35,D130075655A,1216 KAPPES ST,SW20,SW,20,179683.96,1640332.79
31516,235,Over 200$,6/14/2013,18:00,D130077433A,444 E NORTH ST,DT20,DT,20,192389.54,1649235.47
31517,235,Over 200$,6/14/2013,21:10,D130076484A,5201 E 10TH ST,NE50,NE,50,211455.41,1651271.55
31518,235,Over 200$,6/15/2013,8:00,D130076610A,2210 E 46TH ST,ND10,ND,10,199621.59,1672845.4
31519,235,Over 200$,6/15/2013,16:00,D130076957A,3000 SHELBY ST,SE20,SE,20,195050.97,1630049.49
31520,235,Over 200$,6/16/2013,4:18,D130800023A,5145 BOULEVARD PL,ND50,ND,50,188508.75,1675087.6
31521,235,Over 200$,6/17/2013,99:99,D130082556A,725 WOODRUFF PL MIDDLE DR,NE20,NE,20,198303.72,1649958.97
31522,235,Over 200$,6/19/2013,5:50,D130078373A,N DELAWARE ST & E NEW YORK ST,DT20,DT,20,191014.44,1647735.12
31523,235,Over 200$,6/19/2013,11:06,D130078455A,254 S RITTER AV,NE50,NE,50,213685.29,1645795.54
31524,235,Over 200$,6/20/2013,1:30,D130079070A,1301 BARTH AV,SE10,SE,10,194854.87,1639870.47
31525,235,Over 200$,6/20/2013,12:00,D130089941A,402 W NEW YORK ST,DT10,DT,10,187930.18,1647861.43
31526,235,Over 200$,6/21/2013,12:48,D130079615A,2444 E WASHINGTON ST,NE20,NE,20,200492.01,1646667.99
31527,235,Over 200$,6/23/2013,12:00,D130081723A,6770 SPIRIT LAKE DR,ND50,ND,50,196447.34,1687692.12
31528,235,Over 200$,6/24/2013,17:30,D130081384A,W 16TH ST & N TIBBS AV,NW20,NW,20,173761.52,1653880.9
31529,235,Over 200$,6/24/2013,23:00,D130081372A,5509 FURNAS CT,SW70,SW,70,162132.08,1616111.03
31530,235,Over 200$,6/25/2013,22:14,D130081804A,649 JEFFERSON AV,NE20,NE,20,199641.04,1649478.71
31531,235,Over 200$,6/26/2013,7:00,D130082008A,943 PROSPECT ST,SE10,SE,10,194358.7,1640787.56
31532,235,Over 200$,6/26/2013,13:30,D130082083A,3400 BROUSE AV,ND20,ND,20,199918.79,1664798.24
31533,235,Over 200$,6/26/2013,18:30,D130083120A,310 W MICHIGAN ST,DT10,DT,10,188450.09,1648864.91
31534,235,Over 200$,6/28/2013,13:00,D130084933A,802 N MERIDIAN ST,DT10,DT,10,189878.18,1650294.49
31535,235,Over 200$,6/28/2013,16:20,D130083272A,3805 N GERMAN CHURCH RD,NE70,NE,70,242346.81,1667692.29
