OBJECTID,UCR,CRIME,DATE_,TIME,CASE,ADDRESS,BEAT,DIST,AT,X_COORD,Y_COORD
46113,235,Over 200$,1/12/2010,18:00:00,100008744I,00225 N NEW JERSEY ST,DT31,DT,31,192043.74,1647453.68
46114,235,Over 200$,2/9/2010,17:00:00,100020883I,00610 N EAST ST,DT21,DT,21,192583.3,1649397.98
46115,235,Over 200$,2/16/2010,18:10:00,100022456I,00605 W 11TH ST,DT12,DT,12,186625.61,1651689.69
46116,235,Over 200$,2/18/2010,19:00:00,100024048I,00233 E ST JOSEPH ST,DT21,DT,21,191415.55,1650940.26
46117,235,Over 200$,2/23/2010,23:00:00,100026287I,00430 MASSACHUSETTS AV,DT21,DT,21,191694.1,1648399.58
46118,235,Over 200$,2/25/2010,17:50:00,100032362I,01729 E TERRACE AV,SE23,SE,23,197829.37,1639471.4
46119,235,Over 200$,2/26/2010,22:00:00,100028067I,00621 N PARKER AV,NE24,NE,24,202306.46,1649632.77
46120,235,Over 200$,3/14/2010,12:00:00,100043270I,03666 MAYFIELD DR,NE72,NE,72,235984.07,1666736.95
46121,235,Over 200$,3/20/2010,0:01:00,100039642I,06524 CORNELL AV,ND52,ND,52,194529.33,1685120.3
46122,235,Over 200$,4/1/2010,19:30:00,100045121I,N MITTHOEFER RD & E WASHINGTON ST,NE63,NE,63,237098.78,1648861.48
46123,235,Over 200$,4/16/2010,21:28:00,100053223I,02626 N SHERMAN DR,NE14,NE,14,205616.07,1660022.06
46124,235,Over 200$,4/17/2010,12:45:00,100053464I,00065 N FOREST AV,NE23,NE,23,200424.13,1646817.07
46125,235,Over 200$,4/21/2010,20:00:00,100055894I,03312 N WASHINGTON BL,ND11,ND,11,191710.06,1664052.87
46126,235,Over 200$,4/26/2010,0:01:00,100057879I,00221 S STATE AV,SE12,SE,12,197684.26,1644858.31
46127,235,Over 200$,4/28/2010,14:00:00,100059133I,01653 S DELAWARE ST,SE21,SE,21,190733.9,1638264.29
46128,235,Over 200$,5/3/2010,9:00:00,100069769I,05523 AUTUMN WOODS LN,ND61,ND,61,213879.11,1701048.32
46129,235,Over 200$,5/4/2010,12:00:00,100062672I,04924 N CAPITOL AV,ND42,ND,42,189042.92,1673859.19
46130,235,Over 200$,5/4/2010,22:30:00,100062908I,07436 BENTLEY DR,SW81,SW,81,152398.33,1650076.4
46131,235,Over 200$,5/6/2010,17:00:00,100064198I,05901 E WASHINGTON ST,NE54,NE,54,215994.25,1647526.15
46132,235,Over 200$,5/9/2010,14:37:00,100065224I,01201 N GOODLET AV,SW11,SW,11,174725.24,1652556.32
46133,235,Over 200$,5/10/2010,20:00:00,100066471I,00715 E 38TH ST,ND13,ND,13,193784.69,1667316.47
46134,235,Over 200$,5/11/2010,18:30:00,100066499I,05962 TERRYTOWN PW,NW61,NW,61,161347.76,1680998.55
46135,235,Over 200$,5/14/2010,23:00:00,100068595I,01445 N ALABAMA ST,NE11,NE,11,191661.84,1653259.98
46136,235,Over 200$,5/15/2010,0:01:00,100068606I,01151 ROACHE ST,NW11,NW,11,183363.62,1659912.53
46137,235,Over 200$,5/20/2010,17:00:00,100071627I,05794 N PENNSYLVANIA ST,ND53,ND,53,191000.81,1679887.93
46138,235,Over 200$,5/20/2010,20:30:00,100071760I,00001 N MERIDIAN ST,DT31,DT,31,189961.55,1646232.39
46139,235,Over 200$,5/27/2010,21:30:00,100076296I,06848 BUCKRIDGE E DR,SE51,SE,51,197583.73,1609554.88
46140,235,Over 200$,5/28/2010,10:50:00,100076323I,01117 E SOUTHERN AV,SE22,SE,22,195143.41,1632790.58
46141,235,Over 200$,5/28/2010,20:00:00,100077976I,00377 S AUDUBON RD,NE54,NE,54,214650.54,1644765.87
46142,235,Over 200$,5/31/2010,19:00:00,100080228I,01414 LEONARD ST,SE21,SE,21,193954.66,1639466.26
46143,235,Over 200$,6/10/2010,2:30:00,100083171I,01100 N RURAL ST,NE21,NE,21,201655.41,1651800.62
46144,235,Over 200$,6/10/2010,13:30:00,100083396I,06525 ZIONSVILLE RD,NW81,NW,81,161602.93,1684945.19
46145,235,Over 200$,6/13/2010,5:00:00,100086617I,06524 EVANSTON AV,ND62,ND,62,198906.68,1685931.98
46146,235,Over 200$,6/15/2010,14:40:00,100086074I,00040 E ST CLAIR ST,DT21,DT,21,190287.76,1650220.17
46147,235,Over 200$,6/16/2010,20:00:00,100087262I,00611 E 52ND ST,ND53,ND,53,192947.91,1675271.66
46148,235,Over 200$,6/17/2010,23:59:00,100091482I,04341 CENTRAL AV,ND43,ND,43,192410.52,1670828
46149,235,Over 200$,6/19/2010,23:00:00,100088598I,08740 ST PETER ST,SE53,SE,53,199745.1,1599449.34
46150,235,Over 200$,6/21/2010,8:59:00,100088956I,01000 N SHERMAN DR,NE51,NE,51,205654.2,1651375.76
46151,235,Over 200$,6/22/2010,15:00:00,100091082I,05240 N COLLEGE AV,ND53,ND,53,193548.74,1675608.59
46152,235,Over 200$,6/22/2010,20:00:00,100090280I,00402 N NEW JERSEY ST,DT21,DT,21,192031.5,1648246.23
46153,235,Over 200$,6/23/2010,20:15:00,100090649I,E ST CLAIR ST & N AUDUBON RD,NE53,NE,53,214769.01,1650105.4
46154,235,Over 200$,6/26/2010,15:00:00,100092202I,00865 WESTMORE DR,SW81,SW,81,151179.86,1650184.45
46155,235,Over 200$,6/27/2010,8:10:00,100000464C,11816 E WASHINGTON ST,NE63,NE,63,246480.04,1649421.2
46156,235,Over 200$,6/27/2010,19:50:00,100092745I,01600 PLEASANT ST,SE11,SE,11,197192,1641769.43
46157,235,Over 200$,6/27/2010,22:00:00,100093285I,06008 PRAIRIE MEADOW DR,SW72,SW,72,164548.92,1613586.27
46158,235,Over 200$,6/28/2010,23:00:00,100093419I,07823 ELLA DOBBS LN,SE53,SE,53,197648.4,1604568.24
46159,235,Over 200$,6/29/2010,1:00:00,100093583I,00201 S CAPITOL AV,DT32,DT,32,188907.24,1645220.84
46160,235,Over 200$,6/29/2010,20:00:00,100094298I,00605 STEVENS ST,DT34,DT,34,192835.97,1642858.69
