OBJECTID,UCR,CRIME,DATE_,TIME,CASE,ADDRESS,BEAT,DIST,AT,X_COORD,Y_COORD
73545,235,Over 200$,1/22/2018,8:00,D180007999A,320 N NEW JERSEY ST,DT25,DT,25,191996.31,1647820.18
73546,235,Over 200$,1/26/2018,12:00,D180014074A,VIRGINIA AVE/S DELAWARE ST,DT40,DT,40,190901.27,1645776.65
73547,235,Over 200$,2/9/2018,17:00,D180014496A,4545 LAFAYETTE RD,NW80,NW,80,164801.88,1672119.83
73548,235,Over 200$,2/15/2018,16:00,D180018571A,773 LAKE NORA CT S,ND70,ND,70,194177.53,1700824.77
73549,235,Over 200$,2/18/2018,17:42,D180023412A,501 N CAPITOL AVE,DT10,DT,10,189053.34,1648849.07
73550,235,Over 200$,2/20/2018,10:34,D180018395A,520 E MARKET ST,DT20,DT,20,192734.51,1646798.38
73551,235,Over 200$,2/27/2018,0:30,D180026754A,822 JEFFERSON AVE,NE25,NE,25,199526.15,1650409.2
73552,235,Over 200$,3/1/2018,15:59,D180022002A,400 E OHIO ST,DT20,DT,20,192028.3,1647230.1
73553,235,Over 200$,3/2/2018,8:29,D180023277A,26 MONUMENT CR,DT10,DT,10,189847.08,1646532.6
73554,235,Over 200$,3/6/2018,16:00,D180023843A,N LUETT AVE/W 10TH ST,SW15,SW,15,171406.8,1651182.16
73555,235,Over 200$,3/20/2018,20:45,D180029439A,1110 SHELBY ST,SE15,SE,15,194939.93,1640670.81
73556,235,Over 200$,3/28/2018,17:55,D180032053A,451 E MARKET ST,DT20,DT,20,192253.4,1646630.32
73557,235,Over 200$,3/31/2018,14:45,D180033060A,8707 HARDEGAN ST,SE50,SE,50,199258.83,1599803.85
73558,235,Over 200$,4/2/2018,11:59,D180034576A,9373 BENCHMARK DR,ND53,ND,53,196028.21,1703293.31
73559,235,Over 200$,4/15/2018,9:36,D180039043A,1 N MERIDIAN ST,DT21,DT,21,190006.02,1646347.31
73560,235,Over 200$,4/17/2018,22:45,D180039591A,1638 SHELBY ST,SE21,SE,21,194938.68,1638317.76
73561,235,Over 200$,4/24/2018,18:00,D180042591A,415 N IRVINGTON AVE,NE42,NE,42,213002.42,1648837.21
73562,235,Over 200$,5/2/2018,13:54,D180045299A,40 E ST CLAIR ST,DT21,DT,21,190346.38,1650414.59
73563,235,Over 200$,5/5/2018,17:00,D180046886A,120 E WASHINGTON ST,DT21,DT,21,190571.1,1646248.36
73564,235,Over 200$,5/6/2018,8:51,D180046789A,520 E MARKET ST,DT21,DT,21,192734.51,1646798.38
73565,235,Over 200$,5/7/2018,17:00,D180047355A,717 WOODRUFF PL E DR E,NE22,NE,22,198683.81,1650057.54
73566,235,Over 200$,5/9/2018,9:23,D180047935A,1609 BROAD RIPPLE AVE,ND42,ND,42,197319.43,1683067.57
73567,235,Over 200$,5/9/2018,13:20,D180048031A,400 E WABASH ST,DT21,DT,21,192018.93,1646974.85
73568,235,Over 200$,5/9/2018,19:00,D180048560A,2508 N ROUTIERS AVE,NE51,NE,51,230454.28,1659582.16
73569,235,Over 200$,5/12/2018,12:28,D180049260A,1100 PROSPECT ST,SE11,SE,11,195081.43,1640868.95
73570,235,Over 200$,5/14/2018,18:28,D180050150A,6114 CARVEL AVE,ND41,ND,41,195231.57,1682271.07
73571,235,Over 200$,5/14/2018,19:15,D180050171A,6112 CARVEL AVE,ND41,ND,41,195231.63,1682250.88
73572,235,Over 200$,5/15/2018,9:30,D180050341A,227 W MICHIGAN,DT11,DT,11,188726.03,1648826.73
73573,235,Over 200$,5/15/2018,10:37,D180094442A,1050 W 52ND ST,ND51,ND,51,183419.76,1675264.33
73574,235,Over 200$,5/15/2018,14:00,D180050601A,2430 N ALABAMA ST,NE11,NE,11,191704.43,1658849.21
73575,235,Over 200$,5/15/2018,21:30,D180053635A,1543 ENGLISH AVE,SE11,SE,11,197089.56,1643404.78
73576,235,Over 200$,5/16/2018,0:00,D180050839A,17 S OXFORD ST,SE12,SE,12,202061,1646534.36
73577,235,Over 200$,5/16/2018,21:10,D180051167A,101 W MARYLAND ST,DT12,DT,12,189391.2,1645681.96
73578,235,Over 200$,5/18/2018,5:30,D180051950A,259 TROWBRIDGE ST,SE12,SE,12,200777.6,1644827.88
73579,235,Over 200$,5/21/2018,10:40,D180052956A,419 S WEST ST,DT12,DT,12,187459.9,1644055.54
73580,235,Over 200$,5/22/2018,5:30,D180053202A,100 S CAPITOL AVE,DT12,DT,12,188864.02,1645727.72
73581,235,Over 200$,5/23/2018,13:00,D180053794A,433 N DENNY ST,NE41,NE,41,206429.33,1648799.8
73582,235,Over 200$,5/23/2018,20:30,D180054117A,3446 N KENWOOD AVE,ND11,ND,11,189323.14,1665013.84
73583,235,Over 200$,5/23/2018,22:00,D180054335A,501 N CAPITOL AVE,DT11,DT,11,189053.34,1648849.07
73584,235,Over 200$,5/26/2018,9:00,D180055149A,2123 N COLLEGE AVE,NE11,NE,11,193897.73,1656980.23
73585,235,Over 200$,5/27/2018,14:40,D180055425A,923 N MERIDIAN ST,DT21,DT,21,190238.96,1650762.22
73586,235,Over 200$,5/27/2018,20:45,D180055536A,5937 KINGSLEY DR,ND42,ND,42,197903.22,1681110.4
73587,235,Over 200$,5/31/2018,6:00,D180056922A,4432 E 10TH ST,NE31,NE,31,208161.63,1651478.77
73588,235,Over 200$,6/1/2018,8:00,D180086342A,335 W 9TH ST,DT11,DT,11,188171.67,1650635.57
73589,235,Over 200$,6/1/2018,13:55,D180057445A,1 N MERIDIAN ST,DT21,DT,21,190006.02,1646347.31
73590,235,Over 200$,6/1/2018,21:00,D180058847A,501 N CAPITOL AVE,DT11,DT,11,189053.34,1648849.07
73591,235,Over 200$,6/1/2018,22:00,D180059821A,227 W MICHIGAN ST,DT11,DT,11,188715.22,1648795.33
73592,235,Over 200$,6/10/2018,2:00,D180061523A,717 MASSACHUSETTS AVE,DT21,DT,21,193345.25,1649666.95
73593,235,Over 200$,6/12/2018,1:00,D180061771A,1245 SHELBY ST,SE11,SE,11,195160.18,1640102.98
