OBJECTID,UCR,CRIME,DATE_,TIME,CASE,ADDRESS,BEAT,DIST,AT,X_COORD,Y_COORD
29662,235,Over 200$,12/25/2014,19:38,D150002630A,750 W 10TH ST,DT10,DT,10,186251.09,1651306.5
29663,235,Over 200$,1/16/2015,9:29,D150079663A,8525 FAYWOOD DR,SE40,SE,40,229480.87,1627109.27
29664,235,Over 200$,1/23/2015,15:22,D150008353A,N EMERSON & E 38TH,ND30,ND,30,210943.8,1667406.02
29665,235,Over 200$,2/4/2015,11:34,D150012907A,7145 E 21ST ST,NE30,NE,30,222324.38,1656741.51
29666,235,Over 200$,2/5/2015,19:32,D150013499A,6005 E WASHINGTON ST,NE50,NE,50,216491.95,1647434.3
29667,235,Over 200$,3/2/2015,15:53,D150022051A,17 N LAYMAN AVE,NE50,NE,50,214101.18,1647635.45
29668,235,Over 200$,3/8/2015,12:06,D150024228A,2828 E 10TH ST,NE20,NE,20,201909.61,1651437.81
29669,235,Over 200$,3/10/2015,99:99,D150025112A,749 ROACHE ST,NW10,NW,10,186032.7,1659914.86
29670,235,Over 200$,4/4/2015,3:09,D150034971A,2832 E COUNTY LINE RD,SE50,SE,50,201921.01,1598333.08
29671,235,Over 200$,4/4/2015,17:30,D150035891A,330 E ST CLAIR ST,DT20,DT,20,191763.73,1650158.81
29672,235,Over 200$,4/5/2015,0:07,D150035384A,1 N MERIDIAN ST,DT20,DT,20,190006.02,1646347.31
29673,235,Over 200$,4/6/2015,17:44,D150036104A,9373 BENCHMARK DR,ND70,ND,70,196026.48,1703268.31
29674,235,Over 200$,4/9/2015,12:00,D150037798A,359 N WEST ST,DT10,DT,10,187617.64,1648164.89
29675,235,Over 200$,4/10/2015,1:33,D150037604A,1028 W 37TH ST,NW10,NW,10,184071.64,1665000.79
29676,235,Over 200$,4/16/2015,11:00,D150040401A,1506 VILLA AVE,SE20,SE,20,198828.14,1639121.29
29677,235,Over 200$,4/28/2015,15:20,D150045786A,1402 E COUNTY LINE RD,SE50,SE,50,196833,1598696.28
29678,235,Over 200$,4/29/2015,22:28,D150045850A,5216 LUZZANE LN,ND50,ND,50,196452.35,1675625.33
29679,235,Over 200$,5/3/2015,19:00,D150048602A,1066 VIRGINIA AVE,SE10,SE,10,194852.53,1640984.06
29680,235,Over 200$,5/5/2015,14:30,D150048507A,408 EASTERN AVE,NE20,NE,20,201315.03,1648405.24
29681,235,Over 200$,5/6/2015,19:20,D150048720A,6462 DAWSON LAKE DR,ND50,ND,50,197036.29,1685589.87
29682,235,Over 200$,5/9/2015,1:00,D150049893A,4829 CARROLLTON AVE,ND50,ND,50,194103.67,1673399.46
29683,235,Over 200$,5/10/2015,14:26,D150050284A,5763 LAUREL OAK PL,NW80,NW,80,165476.41,1679005.06
29684,235,Over 200$,5/10/2015,19:00,D150051169A,WILSON RD & TRADERS,NW80,NW,80,148836.59,1690289.3
29685,235,Over 200$,5/16/2015,99:99,D150053734A,5281 HOLLY SPRINGS DR W,NW80,NW,80,155193.43,1675531.25
29686,235,Over 200$,5/19/2015,20:27,D150054373A,1917 BREWSTER RD,ND70,ND,70,180080.64,1701107.92
29687,235,Over 200$,5/22/2015,19:28,D150055704A,1610 E WASHINGTON ST,NE20,NE,20,197387.24,1646374.19
29688,235,Over 200$,5/23/2015,12:25,D150055947A,1415 W 86TH ST,ND70,ND,70,182859.77,1699108.84
29689,235,Over 200$,5/25/2015,22:00,D150057491A,4545 N WASHINGTON BL,ND10,ND,10,191733.93,1672363.09
29690,235,Over 200$,5/28/2015,8:30,D150059682A,650 N ALABAMA ST,DT20,DT,20,191565.06,1649492.03
29691,235,Over 200$,5/28/2015,16:10,D150060174A,225 W WASHINGTON ST,DT30,DT,30,188792.55,1646251.65
29692,235,Over 200$,5/28/2015,23:00,D150065901A,910 W 10TH ST,NW10,NW,10,185577.42,1651312.38
29693,235,Over 200$,5/29/2015,12:39,D150058652A,3900 S KEYSTONE AVE,SE30,SE,30,200430.79,1625279.85
29694,235,Over 200$,6/2/2015,20:30,D150060716A,2902 MADISON AV,SE20,SE,20,191790.1,1630596.74
29695,235,Over 200$,6/5/2015,11:31,D150062134A,401 N SENATE AVE,DT10,DT,10,188496.43,1648333.91
