OBJECTID,UCR,CRIME,DATE_,TIME,CASE,ADDRESS,BEAT,DIST,AT,X_COORD,Y_COORD
32154,235,Over 200$,1/9/2012,10:00,D120004070A,1505 S ALABAMA ST,SE21,SE,21,191681.75,1638829.69
32155,235,Over 200$,1/27/2012,16:30,D120012023A,50  N ILLINOIS ST,DT10,DT,10,189424.25,1646600.33
32156,235,Over 200$,1/31/2012,15:00,D120014292A,520 E MARKET ST,DT20,DT,20,192734.51,1646798.38
32157,235,Over 200$,2/5/2012,6:00,D120016504A,350 N MERIDIAN ST,DT10,DT,10,189775.65,1648161.86
32158,235,Over 200$,2/13/2012,20:00,D120022378A,3740 S DEARBORN ST,SE30,SE,30,203648.16,1626658.98
32159,235,Over 200$,3/2/2012,9:00,D120029089A,30 KARCHER ST,SE20,SE,20,189897.39,1638334.96
32160,235,Over 200$,3/14/2012,4:30,D120040200A,111 N PENNSYLVANIA ST,DT20,DT,20,190493.39,1646874.6
32161,235,Over 200$,3/15/2012,12:10,D120034965A,40 MONUMENT CR,DT10,DT,10,189820.73,1646577.36
32162,235,Over 200$,3/15/2012,16:00,D120035245A,4915 S EMERSON AV,SE40,SE,40,211107.76,1620189.16
32163,235,Over 200$,3/17/2012,22:00,D120036352A,6258 N WASHINGTON BL,ND50,ND,50,191811.6,1683464.33
32164,235,Over 200$,3/21/2012,9:39,D120037959A,111 E 16TH ST,NE10,NE,10,190787.55,1653890.7
32165,235,Over 200$,3/24/2012,5:00,D120039644A,50 W WASHINGTON ST,DT10,DT,10,189693.59,1646256.12
32166,235,Over 200$,3/27/2012,21:00,D120041391A,100 S DAVIDSON ST,DT40,DT,40,193847.54,1645405.63
32167,235,Over 200$,4/4/2012,9:41,D120044806A,2350 S AUDUBON RD,SE10,SE,10,215023.67,1634901.19
32168,235,Over 200$,4/8/2012,15:00,D120046921A,225 E NORTH ST,DT20,DT,20,191444.39,1649098.74
32169,235,Over 200$,4/9/2012,10:30,D120047024A,900 S PENNSYLVANIA ST,DT40,DT,40,190251.82,1641923.25
32170,235,Over 200$,4/12/2012,18:00,D120049323A,6821 DAISY LN,SW80,SW,80,155684.63,1647396.83
32171,235,Over 200$,4/15/2012,17:30,D120051050A,5912 W MOORESVILLE RD,SW70,SW,70,160182.95,1620262.4
32172,235,Over 200$,4/16/2012,0:01,D120051095A,1924 N TALBOTT ST,NE10,NE,10,190789.52,1655754.29
32173,235,Over 200$,4/24/2012,0:01,D120054912A,610 N EAST ST,DT20,DT,20,192578.39,1649257.05
32174,235,Over 200$,4/24/2012,15:00,D120057057A,4841 NORWALDO AV,ND10,ND,10,198278.04,1673659.06
32175,235,Over 200$,4/26/2012,18:00,D120056456A,2502 SHELBY ST,SE20,SE,20,195031.69,1633440.16
32176,235,Over 200$,4/26/2012,21:20,D120059400A,2612 COLD SPRING MANOR DR,NW20,NW,20,177239.04,1659702.9
32177,235,Over 200$,4/27/2012,6:00,D120057360A,815 E 40TH ST,ND10,ND,10,194322.86,1668593.9
32178,235,Over 200$,5/1/2012,19:00,D120059980A,901 E OHIO ST,NE20,NE,20,194530.49,1647082.34
32179,235,Over 200$,5/2/2012,10:20,D120059354A,1521 N COLLEGE AV,ne10,ne,10,193863.35,1653552.42
32180,235,Over 200$,5/4/2012,11:40,D120060533A,1110 E ST CLAIR ST,NE20,NE,20,195364.99,1650116.91
32181,235,Over 200$,5/5/2012,17:14,D120061169A,924 BROAD RIPPLE AV,ND50,ND,50,194480.88,1683618.07
32182,235,Over 200$,5/7/2012,7:00,D120061853A,3950 GUION LN,NW60,NW,60,170317.41,1684764.94
32183,235,Over 200$,5/9/2012,11:38,D120063155A,320 N NEW JERSEY ST,DT20,DT,20,192016.42,1647815.24
32184,235,Over 200$,5/10/2012,16:00,D120063969A,212 W 10TH ST,DT10,DT,10,188831.6,1651336.87
32185,235,Over 200$,5/12/2012,19:30,D120065076A,4604 E WASHINGTON ST,NE50,NE,50,208748.23,1647204.59
32186,235,Over 200$,5/12/2012,22:15,D120065121A,HARLAN ST & PROSPECT ST,SE10,SE,10,198977.18,1640841.27
32187,235,Over 200$,5/15/2012,9:48,D120066418A,1848 LUDLOW AV,NE10,NE,10,198794.3,1654459.38
32188,235,Over 200$,5/15/2012,10:15,D120066394A,907 LAKE NORA CT S,ND70,ND,70,194633.04,1700655.72
32189,235,Over 200$,5/16/2012,1:15,D120066848A,621 N OXFORD ST,NE20,NE,20,202042.79,1649765.99
32190,235,Over 200$,5/16/2012,7:00,D120067134A,5630 BRENDON WAY W DR,ND30,ND,30,219792,1678647.7
32191,235,Over 200$,5/16/2012,17:32,D120067213A,8602 APPLEBLOSSOM LN,SW70,SW,70,146031.46,1610192.81
32192,235,Over 200$,5/16/2012,20:00,D120068217A,1617 CARROLLTON AV,NE10,NE,10,194098.54,1654125.79
32193,235,Over 200$,5/19/2012,19:00,D120069216A,401 E MICHIGAN ST,DT20,DT,20,192208.86,1648566.33
32194,235,Over 200$,5/19/2012,21:00,D120068953A,36 E WASHINGTON ST,DT20,DT,20,190299.13,1646339.13
32195,235,Over 200$,5/21/2012,0:01,D120069597A,181 N BERWICK AV,SW10,SW,10,173262.74,1646372.37
32196,235,Over 200$,5/21/2012,13:30,D120069795A,1335 N ALABAMA ST,NE10,NE,10,191756.73,1652852.71
32197,235,Over 200$,5/21/2012,19:42,D120069885A,700 MASSACHUSETTS AV,DT20,DT,20,193055.74,1649631.81
32198,235,Over 200$,5/22/2012,8:00,D120070873A,E OHIO ST & N PENNSYLVANIA ST,DT20,DT,20,190486.2,1647243.45
32199,235,Over 200$,5/26/2012,9:30,D120072773A,1118 N PERSHING AV,SW10,SW,10,178321.45,1652035.9
32200,235,Over 200$,5/26/2012,11:00,D120072579A,812 CHADBOURNE DR,SW80,SW,80,152344,1649734.71
32201,235,Over 200$,5/27/2012,14:15,D120073095A,6540 E 55TH PL,ND30,ND,30,219047.06,1677706.62
32202,235,Over 200$,5/27/2012,16:00,D120074308A,E VERMONT ST & N STATE AV,NE20,NE,20,197665.58,1647910.45
32203,235,Over 200$,5/28/2012,3:32,D120073381A,41 N ADDISON ST,SW10,SW,10,177095.89,1646181.73
32204,235,Over 200$,5/29/2012,10:00,D120076414A,1340 N PARK AV,NE10,NE,10,192772.31,1652865.24
32205,235,Over 200$,5/30/2012,10:00,D120075237A,4350 MADISON AV,SE30,SE,30,194973.55,1622408.59
32206,235,Over 200$,5/30/2012,10:38,D120074623A,8681 FLUVIA TE,ND60,ND,60,212300.38,1699399.05
32207,235,Over 200$,5/30/2012,19:43,D120074915A,4401 E MICHIGAN ST,NE50,NE,50,208027.41,1648924.38
32208,235,Over 200$,5/30/2012,20:30,D120076097A,1434 N DELAWARE ST,NE10,NE,10,190913.95,1653538.61
32209,235,Over 200$,5/30/2012,22:00,D120075041A,2509 ENGLISH AV,SE10,SE,10,200683.09,1643499.1
32210,235,Over 200$,5/31/2012,10:30,D120075527A,5640 N ILLINOIS ST,ND50,ND,50,189559.66,1678022.27
32211,235,Over 200$,6/1/2012,9:00,D120076010A,1004 WISHARD BL,DT10,DT,10,184321.05,1650305.95
32212,235,Over 200$,6/2/2012,12:30,D120076350A,5209 E WASHINGTON ST,NE50,NE,50,211758.6,1647272.36
32213,235,Over 200$,6/4/2012,15:16,D120077386A,7338 E STOP 11 RD,SE40,SE,40,223607.12,1604144.29
32214,235,Over 200$,6/5/2012,16:30,D120078051A,1330 W SOUTHPORT RD,SW50,SW,50,183189.62,1608696.12
32215,235,Over 200$,6/5/2012,17:30,D120078181A,1456 N DELAWARE ST,NE10,NE,10,190989.91,1653646.45
32216,235,Over 200$,6/5/2012,17:46,D120078066A,E 13TH ST & N TALBOTT ST,NE10,NE,10,190875.69,1652554.2
32217,235,Over 200$,6/6/2012,17:15,D120078643A,3440 OLIVER AV,SW60,SW,60,173086.96,1642829.41
32218,235,Over 200$,6/7/2012,8:00,D120079269A,901 N SHERMAN DR,NE50,NE,50,205654.3,1650576.29
32219,235,Over 200$,6/7/2012,13:30,D120079178A,1512 N DELAWARE ST,NE10,NE,10,191107.31,1653791.89
32220,235,Over 200$,6/7/2012,18:30,D120079291A,617 E NORTH ST,DT20,DT,20,193265.68,1649069.59
32221,235,Over 200$,6/8/2012,9:30,D120079728A,5625 E WASHINGTON ST,NE50,NE,50,214238.99,1647420.55
32222,235,Over 200$,6/8/2012,17:54,D120079882A,5625 E WASHINGTON ST,NE50,NE,50,214238.99,1647420.55
32223,235,Over 200$,6/9/2012,16:13,D120080309A,2031 WINFIELD AV,NW20,NW,20,176145.78,1656096.06
32224,235,Over 200$,6/10/2012,15:00,D120080874A,2836 MARS HILL ST,SW60,SW,60,169979.51,1630506.52
32225,235,Over 200$,6/11/2012,14:00,D120084520A,406 CANAL CT S DR,DT10,DT,10,187774.77,1649916.82
32226,235,Over 200$,6/11/2012,21:00,D120081565A,125 MONUMENT CIR,DT20,DT,20,190128.08,1646815.76
32227,235,Over 200$,6/11/2012,21:16,D120081466A,2631 N ALABAMA ST,NE10,NE,10,191772.32,1659862.19
32228,235,Over 200$,6/12/2012,23:00,D120082091A,1820 SPANN AV,SE10,SE,10,198027.66,1643201.2
32229,235,Over 200$,6/13/2012,16:00,D120082484A,W 26TH ST & DR M L KING JR ST,NW10,NW,10,186377.72,1659798.02
32230,235,Over 200$,6/13/2012,22:20,D120082716A,E NEW YORK ST & N PENNSYLVANIA ST,DT20,DT,20,190504.54,1647751.4
32231,235,Over 200$,6/15/2012,22:00,D120083872A,401 E MICHIGAN ST,DT20,DT,20,192208.86,1648566.33
32232,235,Over 200$,6/16/2012,0:01,D120084826A,5525 BROADWAY ST,ND50,ND,50,192987.18,1677505.28
32233,235,Over 200$,6/16/2012,17:45,D120097195A,5301 E ST CLAIR ST,NE50,NE,50,212170.84,1650030.38
32234,235,Over 200$,6/16/2012,23:30,D120084486A,1149 N SOMERSET AV,SW10,SW,10,172030,1652379.45
32235,235,Over 200$,6/17/2012,1:30,D120084437A,5345 BROADWAY ST,ND50,ND,50,193215.7,1676390.11
32236,235,Over 200$,6/17/2012,17:25,D120084630A,611 W 11TH ST,DT10,DT,10,186651.96,1651702.18
32237,235,Over 200$,6/17/2012,21:00,D120084853A,5660 E 30TH ST,NE30,NE,30,214420.6,1662222.55
32238,235,Over 200$,6/17/2012,23:21,D120084728A,8123 ZONA DR,SE50,SE,50,200728.82,1602969.17
32239,235,Over 200$,6/19/2012,3:00,D120085393A,2718 E NEW YORK ST,NE20,NE,20,201385.4,1647910.84
32240,235,Over 200$,6/19/2012,11:17,D120085494A,1017 W 28TH ST,NW10,NW,10,184237.74,1660511.54
32241,235,Over 200$,6/19/2012,13:11,D120085562A,6842 WESTDRUM RD,SW80,SW,80,155509.24,1642662.14
32242,235,Over 200$,6/19/2012,19:30,D120086014A,1340 N PARK AV,NE10,NE,10,192772.31,1652865.24
32243,235,Over 200$,6/20/2012,10:00,D120086908A,853 N PARK AV,DT20,DT,20,192902.25,1650720.54
32244,235,Over 200$,6/21/2012,1:00,D120086552A,5623 N RURAL ST,ND50,ND,50,201580.24,1678519.71
32245,235,Over 200$,6/21/2012,19:55,D120086928A,401 E MICHIGAN ST,DT20,DT,20,192208.86,1648566.33
32246,235,Over 200$,6/21/2012,22:00,D120087020A,1130 W 34TH ST,NW10,NW,10,183535.23,1663824.82
32247,235,Over 200$,6/22/2012,8:00,D120087353A,6116 CARVEL AV,ND50,ND,50,195250.59,1682270.78
32248,235,Over 200$,6/22/2012,10:15,D120088691A,659 VIRGINIA AV,DT40,DT,40,193384.2,1642802.15
32249,235,Over 200$,6/24/2012,11:00,D120088318A,1922 N LASALLE ST,NE10,NE,10,203302.15,1655533.1
32250,235,Over 200$,6/24/2012,21:30,D120088738A,9150 BAGLEY DR,SW80,SW,80,143253,1643684.02
32251,235,Over 200$,6/26/2012,14:40,D120089454A,902 N SHEFFIELD AV,SW10,SW,10,178549.4,1650575.79
32252,235,Over 200$,6/27/2012,19:00,D120090210A,2711 POMONA CT,ND70,ND,70,176150,1701327.38
32253,235,Over 200$,6/28/2012,4:00,D120090340A,1014 E TABOR ST,SE20,SE,20,194512.54,1635058.94
32254,235,Over 200$,6/29/2012,9:00,D120098479A,9312 VIKING HILLS CT,ND60,ND,60,214933.15,1702758.46
32255,235,Over 200$,6/30/2012,10:00,D120091512A,7900 SHELBY ST,SE50,SE,50,194952.49,1603982.24
32256,235,Over 200$,6/30/2012,22:30,D120091964A,636 ORANGE ST,SE20,SE,20,192872.52,1639877.25
32257,235,Over 200$,7/3/2012,15:30,D120094038A,3604 E NEW YORK ST,NE20,NE,20,204881.4,1647970.67
32258,235,Over 200$,7/3/2012,19:30,D120093297A,1611 W VERMONT ST,SW10,SW,10,180745.47,1648392.55
32259,235,Over 200$,7/7/2012,13:50,D120095113A,3564 DECAMP DR,NE70,NE,70,231346.91,1666026.96
32260,235,Over 200$,7/10/2012,1:00,D120096502A,3540 N PENNSYLVANIA ST,ND10,ND,10,190888.95,1665694.64
32261,235,Over 200$,7/12/2012,10:29,D120097641A,5745 RALSTON AV,ND50,ND,50,197545.52,1679233.36
32262,235,Over 200$,7/13/2012,11:00,D120099629A,225 W WASHINGTON ST,DT30,DT,30,188792.55,1646251.65
32263,235,Over 200$,7/14/2012,16:30,D120098980A,3108 N KENWOOD AV,ND10,ND,10,189402.32,1662704.14
32264,235,Over 200$,7/15/2012,0:01,D120101168A,6528 LOCUST GROVE DR,SE40,SE,40,219250.75,1602530.76
32265,235,Over 200$,7/15/2012,13:32,D120099264A,554 N ORIENTAL ST,NE20,NE,20,196331.47,1649119.92
32266,235,Over 200$,7/16/2012,20:00,D120099988A,4047 ASPEN WY,NE70,NE,70,228845.72,1669233.78
32267,235,Over 200$,7/18/2012,13:30,D120101086A,40 E ST CLAIR ST,DT20,DT,20,190287.76,1650220.17
32268,235,Over 200$,7/20/2012,17:00,D120102738A,802 LINCOLN ST,SE20,SE,20,193349.3,1638512.35
32269,235,Over 200$,7/21/2012,17:00,D120102840A,5640 N ILLINOIS ST,ND50,ND,50,189559.66,1678022.27
32270,235,Over 200$,7/22/2012,19:30,D120103467A,3060 N MERIDIAN ST,ND10,ND,10,190192.73,1662531.28
32271,235,Over 200$,7/23/2012,16:39,D120103984A,2740 E 37TH ST,ND20,ND,20,201394.73,1666687.89
32272,235,Over 200$,7/24/2012,13:00,D120104986A,2702 N TIBBS AV,NW20,NW,20,173717.65,1660194.47
32273,235,Over 200$,7/25/2012,1:00,D120104832A,6389 BROADWAY ST,ND50,ND,50,193101.31,1684544.62
32274,235,Over 200$,7/26/2012,12:00,D120106728A,5904 COMPTON ST,ND50,ND,50,195514.54,1680900.4
32275,235,Over 200$,7/27/2012,6:30,D120112166A,6174 COMPTON ST,ND50,ND,50,195505.35,1682890.21
32276,235,Over 200$,7/27/2012,13:30,D120106194A,1 W 26TH ST,NW10,NW,10,190414.57,1659778.97
32277,235,Over 200$,7/27/2012,99:99,D120106713A,11027 ESSEN CT,NE70,NE,70,242709.77,1665639.55
32278,235,Over 200$,7/28/2012,13:47,D120106672A,2121 W MICHIGAN ST,SW10,SW,10,178694.68,1648715.77
32279,235,Over 200$,7/30/2012,0:01,D120115462A,1202 VANDEMAN ST,SE10,SE,10,203570.2,1640072.98
32280,235,Over 200$,7/30/2012,20:30,D120107876A,33 S EUCLID AV,SE10,SE,10,208101.06,1646643.88
32281,235,Over 200$,7/30/2012,99:99,D120107801A,7106 TWIN OAKS DR,NE30,NE,30,222074.1,1666357.17
32282,235,Over 200$,8/1/2012,9:00,D120116002A,8545 WOODS EDGE E DR,ND60,ND,60,218890.74,1698764
32283,235,Over 200$,8/2/2012,14:00,D120109502A,1610 E NAOMI ST,SE20,SE,20,197210.15,1637294.22
32284,235,Over 200$,8/2/2012,22:00,D120114458A,310 W MICHIGAN ST,DT10,DT,10,188450.09,1648864.91
32285,235,Over 200$,8/3/2012,0:01,D120109712A,2908 E 71ST ST,ND60,ND,60,202107.65,1688502.88
32286,235,Over 200$,8/3/2012,16:35,D120109974A,1059 HARLAN ST,SE10,SE,10,198997.78,1641118.66
32287,235,Over 200$,8/3/2012,17:00,D120109995A,1158 N HOLMES AV,SW10,SW,10,176658.5,1652501.66
32288,235,Over 200$,8/7/2012,7:30,D120117168A,6012 COMPTON ST,ND50,ND,50,195512.9,1681601.27
32289,235,Over 200$,8/7/2012,14:14,D120112007A,N PENNSYLVANIA ST & E ST CLAIR ST,DT20,DT,20,190590.81,1650185.34
32290,235,Over 200$,8/8/2012,10:00,D120112896A,1070 EUGENE ST,NW10,NW,10,183937.37,1661617.31
32291,235,Over 200$,8/8/2012,10:00,D120112522A,1000 JEFFERSON AV,NE20,NE,20,199596.07,1651354.48
32292,235,Over 200$,8/8/2012,15:30,D120112779A,831 BROAD RIPPLE AV,ND50,ND,50,194048.34,1683571.32
32293,235,Over 200$,8/9/2012,16:31,D120113207A,4201 W 47TH ST,NW60,NW,60,169653.85,1672945.88
32294,235,Over 200$,8/15/2012,11:52,D120116057A,1620 E 54TH ST,ND50,ND,50,197449.63,1676956.5
32295,235,Over 200$,8/15/2012,13:00,D120116103A,50 N ALABAMA ST,DT20,DT,20,191459.01,1646462.67
32296,235,Over 200$,8/17/2012,7:34,D120116958A,810 N HIGH SCHOOL RD,SW80,SW,80,158185.58,1649723.85
32297,235,Over 200$,8/17/2012,10:44,D120117044A,919 N ALABAMA ST,DT20,DT,20,191705.72,1650823.76
32298,235,Over 200$,8/17/2012,10:50,D120117056A,320 N NEW JERSEY ST,DT20,DT,20,192016.42,1647815.24
32299,235,Over 200$,8/17/2012,23:00,D120117413A,1513 N KEALING AV,NE20,NE,20,205260,1653720.41
32300,235,Over 200$,8/19/2012,13:39,D120118130A,4101 SPANN AV,SE10,SE,10,207283.84,1643249.75
